Subject,Object
AirBridgeCargo Airlines,Sheremetyevo International Airport
Silk Way West Airlines,Heydar Aliyev International Airport
European Air Transport,Leipzig/Halle Airport
European Air Transport Leipzig,Leipzig/Halle Airport
ASL Airlines Belgium,Liege Airport
ABX Air,Miami International Airport
LATAM Cargo Chile,Miami International Airport
Mistral Air,Brescia Airport
Bizair,Berlin Schönefeld Airport
Bremenfly,Berlin Schönefeld Airport
ABSA Cargo Airline,Viracopos International Airport
DHL Air UK,East Midlands Airport
Vibroair,Düsseldorf Mönchengladbach Airport
EgyptAir Cargo,Cairo International Airport
Qantas Freight,Sydney Airport
