Subject,Object
V* V709 Cyg,9.289
D33 J013415.9+304612.7,19.97
Kapteyn's Star,8.853
D33 J013335.6+303649.2,20.943
Cl* NGC 7654 CKK V16,12.866
HD 175950,8.59
Sunflower Galaxy,8.59
[L2004] n 628-1885,19.82
NGC 7654 1042,12.988
V* V397 Vir,16.61
[DCD2013] CSS J133849.5+084607,19.08
SN 2005ji,21.4
D33 J013421.3+304537.1,19.942
Mu Arae,5.15
Alpha Librae,2.8
NGC 2180,9.0
2MASS J09255597+0649540,14.57
EC 21381-2841,16.83
TYC 4479-446-1,10.47
GUVV J120642.5-075909.1,18.89
BD-06 1250,9.95
[DCD2013] CSS J122638.1+093409,18.55
NGC 3242,12.15
OGLE 2013-SN-59,18.0124
EC 21171-1658,13.72
SN 2007ba,18.2
TYC 5127-2055-1,11.17
NSV 1095,12.16
NGC 6845,12.16
EC 21366-3514,14.04
HD 112245,9.519
NGC 6120,13.9
GUVV J064856.6-360215.8,16.41
[L2004] n 628-927,21.0
NGC 7500,13.6
NGC 7654 835,13.868
[KMW87] Q21314,20.666
[CWB2011] WLTV J045356.04-030619.7,17.99
NGC 1140,12.49
V* V396 Vir,17.14
GUVV J225334.9-394830.4,18.58
SDSS J081855.21+300253.5,16.201
[DCD2013] CSS J134844.7+010227,19.18
HD 15239,9.12
1SWASP J011732.10+525204.9,13.98
EC 21521-5752,14.51
[L2004] n 628-1140,19.73
NGC 7142,9.3
[DCD2013] CSS J131106.8-030007,18.97
NGC 6045,10.542
NGC 6045,14.8
[L2004] n 628-896,19.49
GUVV J154603.5-125117.5,18.4
GUVV J142627.0+321540.7,18.4
SN 2007bd,18.4
NGC 3857,14.1
EC 23317-7354,14.1
NGC 281,7.4
CSIMon-007536,13.27
1SWASP J160202.07+121213.5,13.27
[KMW87] P22263,20.045
TYC 1601-1491-1,10.78
[DCD2013] CSS J131216.4+042216,19.1
NGC 160,9.352
HD 352059,10.83
GUVV J004033.8-445936.9,18.49
NGC 129,6.5
TYC 4687-2279-1,10.64
HD 124237,9.42
HD 27894,9.42
NGC 2186,8.7
BD-04 3421,9.8
Cl* NGC 6811 SAN 255,12.549
ASAS J091748+1544.1,11.91
Centaurus A,6.84
SN 2005jj,22.9
1SWASP J222514.69+361643.0,12.63
SN 2007bu,19.3
[L99] n628-1807,20.69
NGC 3110,12.7
SN 2007bs,19.8
TYC 1609-1518-1,10.69
[HL2008] 87768,22.255
2MASS J18042772-2424321,16.982
UCAC2 45858420,14.93
NGC 524,10.4
SV* HV 2031,15.9
Gliese 412,10.34
BD+67 1030,10.34
[L99] n628-681,21.01
[CWB2011] WLTV J160429.34+431016.8,17.33
NGC 4435,10.8
ASASSN -14gz,21.415
OGLE SMC-SC9 27258,16.17
[HL2008] 40356,22.388
[LKS2002] C174,20.037
2MASS J03401184+3155233,11.421
Mintaka,2.41
[DCD2013] CSS J132820.0+060507,18.8
SN 2007bq,18.8
NGC 1316,8.53
[DCD2013] CSS J135822.4-024448,19.13
EC 21281-5010,15.3
LP 415-345,13.283
[L2004] n 628-717,20.92
SN 2005jk,21.3
TYC 5518-774-1,12.22
[L99] n628-1099,19.99
NGC 2420,8.3
[DCD2013] CSS J130408.0+073718,18.72
NGC 2266,9.5
NGC 559,9.5
GUVV J052337.8-485917.4,13.26
EC 04405-3211,14.86
BD-00 2299,9.987
SN 2007ax,17.2
SN 2005jh,16.614
EC 21292-5934,14.4
EC 01404-6752,14.98
SN 2007bj,15.1
[DCD2013] CSS J132745.4+054157,18.76
[HL2008] 107410,22.899
BD-16 248,9.48
SDSS J122114.17+090338.5,18.47
HD 60335,6.41
EC 04185-2212,14.14
BD+44 1302,9.69
HD 154345,6.74
EC 04386-5049,16.38
2MASS J18035351-2421237,14.522
EC 21044-3149,15.01
SV* HV 877,13.363
Alcyone,2.87
[KMW87] P14523,19.322
TYC 694-1183-1,11.286
[HL2008] 27222,22.344
FL Lyrae,9.36
TYC 1284-1056-1,11.085
SN 2007bm,16.0
NGC 7654 1010,13.781
2MASS J08274034+2441411,16.4
[HL2008] 53697,22.074
NGC 4377,8.829
[L2004] n 628-568,19.6
SN 2007bo,19.6
[CWB2011] WLTV J045346.27-030329.0,16.9
[DCD2013] CSS J134315.7+094544,19.0
Zeta Phoenicis,4.014
EC 21306-4911,15.15
NGC 59,12.59
EC 22212-5915,14.72
D33 J013355.3+304343.5,20.194
[KMW87] Q11994,20.39
HD 285497,10.85
SN 2007br,19.5
Gliese 777,5.71
NGC 392,12.71
[HL2008] 72535,22.322
NGC 7654 929,12.841
Tupi,7.11
D33 J013352.1+304702.9,20.688
2QZ J133326.9-021616,18.93
SN 2007au,17.0
[SS2011b] F2-16084,25.547
