Subject,Object
La Seo Cathedral,Romanesque architecture
Atri Cathedral,Romanesque architecture
Cathedral of Corfinio,Romanesque architecture
Co-cathedral of San Pedro,Romanesque architecture
Acquaviva Cathedral,Romanesque architecture
Penne Cathedral,Romanesque architecture
Gurk Cathedral,Romanesque architecture
Sant Esteve,Romanesque architecture
Torre del Pubill,Romanesque architecture
San Giovanni in Sugana,Romanesque architecture
Sant'Agata,Romanesque architecture
San Giovanni Battista a Corsano,Romanesque architecture
San Giovanni Battista,Romanesque architecture
Santi Ansano e Tommaso,Romanesque architecture
SunTrust Plaza,Postmodern architecture
161 Maiden Lane,Postmodern architecture
138 East 50th Street,Postmodern architecture
Millennium Tower,Modern Movement
Golden Acre,Modern Movement
Montgomery County Executive Office Building,Modern Movement
Vista Tower,Modern Movement
Palácio do Planalto,Modern Movement
St. Basil's Cathedral,Byzantine architecture
Arch of Hadrian,ancient Roman architecture
Willow Tearooms,Art Nouveau
El Soler de Mansolí,Art Nouveau
International Telecommunication Union Monument,Art Nouveau
Metropolitan Cathedral of Athens,Neoclassical architecture
Yelokhovo Cathedral,Neoclassical architecture
Church of St. George,Neoclassical architecture
Church of St. George,Neoclassical architecture
Bodorgan Hall,Neoclassical architecture
Rashtrapati Bhavan,Neoclassical architecture
Chafariz do Terreiro de Jesus,Neoclassical architecture
Schönau Abbey,Gothic architecture
"St. Peter's Church, Munich",Gothic architecture
Kościół św. Barbary w Krakowie,Gothic architecture
Jesuitenkirche,Gothic architecture
Arc gòtic amb inscripció,Gothic architecture
Arcs del carrer Major,Gothic architecture
Torre a Cal Ferrer,Gothic architecture
Gunetzrhainerhaus,Rococo
Mortemer Abbey,Cistercian architecture
InterContinental Amstel Amsterdam,Renaissance Revival architecture
The Dorchester,Art Deco
Synagogue of Santa María la Blanca,Moorish architecture
Cathedral of Saint Sava,Byzantine Revival architecture
Novocherkassk Cathedral,Byzantine Revival architecture
St. Michael's Cathedral,Byzantine Revival architecture
Alexander Nevsky Cathedral,Byzantine Revival architecture
Alexander Nevsky Cathedral,Russian Revival architecture
"Ascension Cathedral, Almaty",eclectic architecture
Mas Romaní,eclectic architecture
monument to Octave Gréard,eclectic architecture
Hockett Meadow Ranger Station,rustic architecture
Horseshoe Lake Ranger Station,rustic architecture
Graves Creek Ranger Station,rustic architecture
Elkhorn Guard Station,rustic architecture
Hockett Meadow Ranger Station,rustic architecture
Wild Basin Ranger Station,rustic architecture
Warner Valley Ranger Station,rustic architecture
Saint George's Cathedral,Baroque Revival architecture
Franziskusbrunnen,Baroque Revival architecture
Ozuka-kofun,Keyhole-shaped kofun
Tsubai Otsukayama Kofun,Keyhole-shaped kofun
Tsudo-shiroyama Kofun,Keyhole-shaped kofun
Tadeiyama Kofun,Keyhole-shaped kofun
Nagayama Kofun,Keyhole-shaped kofun
Gobyoyama Kofun,Keyhole-shaped kofun
Redwood Meadow Ranger Station,National Park Service rustic
The Convent,Victorian architecture
Basilica of Our Lady of the Pillar,neoclassicism
Font d'Hèrcules,neoclassicism
"Kazan Cathedral, St. Petersburg",classicism
Carbisdale Castle,Scottish Baronial architecture
Fürstenfeld Abbey,baroque architecture
Church of Saint Wenceslaus,baroque architecture
Church of the Assumption of the Virgin Mary,baroque architecture
Church of Saints Peter and Paul,baroque architecture
Church of Saint Nicholas,baroque architecture
Church of Saint James the Greater,baroque architecture
"Jesuit Church, Lucerne",baroque architecture
"Old Cathedral, Linz",baroque architecture
Basilica of Bom Jesus,baroque architecture
Saints Peter and Paul Church,baroque architecture
I Gesuiti,baroque architecture
"Church of San Francisco Javier, Tepotzotlán",baroque architecture
"Church of San Ildefonso, Toledo",baroque architecture
Iglesia de San Isidoro,baroque architecture
Sant'Andrea al Quirinale,baroque architecture
Miagao Church,baroque architecture
Arc de la casa de Mateu Tort,baroque architecture
Union Depot,Tudor Revival architecture
Church of Saint John the Baptist,Czech Gothic architecture
Propositura di San Niccolò,Romanesque Revival architecture
Fenollet,vernacular architecture
el Reig,vernacular architecture
Mas del carrer Enric d'Ossó,vernacular architecture
Mas de la carretera de Tortosa a Santa Bàrbara,vernacular architecture
Mas Martí,vernacular architecture
el Crous,vernacular architecture
Mas la Cau,vernacular architecture
Trasserra,vernacular architecture
el Perer,vernacular architecture
Mierons,vernacular architecture
la Riera,vernacular architecture
Torre d'Escaló,vernacular architecture
Monastère Sainte Catherine de Sienne,Gothic Revival architecture
"St. Paul's Church, Munich",Gothic Revival architecture
Hafodunos,Gothic Revival architecture
Barmoor Castle,Gothic Revival architecture
