Subject,Object
La Concordia,151.02
Bopa,365.0
Victoria Barracks G Block,0.16378336
Rožmitál pod Třemšínem,52.972451
Praga-Północ,11.42
Hendry County,3082.0
Hod HaSharon,19.236
Jagannathpur Upazila,368.27
Clark County,1700.0
Kallahti,1.95
Włochy,28.63
Fuencarral-El Pardo,237.838370174431
Dabakala Department,9670.0
Nameoki Township,26.76
Valle de Ignacio Allende,10.26
Victoria Barracks Perimeter Wall and Gates,0.13887153
Lac qui Parle Township,81.6
Chuy District,1592.0
Hwapyong County,1219.0
Camden Post Office,0.08725638
La Florida,70.8
Dornbirn District,172.37
Strathmore Park,12.83
Saqqaq,1.77
Saqqaq,1.77
Muskogee County,2173.0
Tumut Post Office,0.08128786
Murray County,1864.0
Mason County,1152.0
Hobart Airport Air Traffic Control Tower,0.05701436
Yurukovo,16744.0
"Nieuw Amsterdam, Suriname",48.0
Weiz District,1098.0
Lakhta Center,400000.0
Horní Bezděkov,4.58211
Greater Madawaska,1035.59
Spiers Lake National Wildlife Area,0.64
Polesia Voblast,26000.0
Polesia Voblast,26000.0
Raven Island National Wildlife Area,1.12
Babuganj Upazila,164.88
Polanów,7.61
Valdivia,45.85
Valdivia,45.85
Centre Township,52.0
Sieraków,14.1
Malmo Township,92.5
Monroe County,2000.0
Hojancha Canton,261.42
Okfuskee County,1629.0
Payne County,1806.0
Fort Gellibrand,2.77596454
Mirzaganj Upazila,175.45
Bremen Township,98.0
1st arrondissement of Paris,1.83
Watonwan County,440.0
Carbon County,20627.0
Hassan Township,18.17
District 10,6.0
Bigi Poika,2361.0
Lewis County,6310.0
Lewis County,1009.0
LeBreton Flats,0.84
Lota,136.0
Andramasina,1370.0
Kunów,7.28
Canterbury Post Office,0.08983497
Holmes County,1979.0
Boot Island National Wildlife Area,1.07
Uherské Hradiště,21.256963
Poplar Bay Provincial Park,13.66
Bankass Cercle,9054.0
Ambilobe,7714.0
Jennersdorf District,253.0
Kerang Post Office,0.19547934
Veligandla mandal,390.74
Naranjo Canton,126.62
Uiju County,420.0
Ikamiut,1.75
Chapple,527.94
Curacautín,1664.0
Martur mandal,17983.0
Iquique,20.94
Linwood Township,93.0
Grant Valley Township,93.0
Zell am See District,2640.85
Toguz-Toro District,3816.0
Brevard County,4032.0
Chelmsford,338.7822
Chelmsford,338.7822
Salzburg,65.65
Nandayure Canton,565.59
Lampa,451.9
Pierce County,4679.0
Beersel,30.01
Ogba/Egbema/Ndoni,969.0
Salvador Shopping,84300.0
Nagasaki,406350000.0
Moengo,1117.0
Janakavarampanguluru mandal,16882.0
Stalwart National Wildlife Area,12.5
Province of Medio Campidano,1516.19
Ili Kazakh Autonomous Prefecture,269504.03
Lake Shala,329.0
Matéri,1740.0
Czerniejewo,10.2
Lake Neuchâtel,2.19
Lake Neuchâtel,55.19
Reutte District,1236.82
Přísnotice,7.701041
Steenerson Township,36.3
Nordland Township,95.0
Valparaíso,47.98
Valparaíso,47.98
Arakawa-ku,10.16
San José de Bocay,3990.4
Västerbotten County,55186.2
province of Milan,1575.65
Notre-Dame-du-Sacré-Cœur-d'Issoudun,60.6
Tangutur mandal,20410.0
Mošnov,12.080471
Meerzorg,1081.0
Las Condes,99.4
Esteban Arce Province,2750.0
Bunkyō-ku,11.29
Hot Springs County,5196.0
Perwez,50.81
Lienz District,2019.87
Chaumont-Gistoux,48.09
Yalagüina,71.0
