Subject,Object
Victory Through Air Power,Victory Through Air Power
Μ,𐤌
Buffalo Girls,Buffalo Girls
Gloster,Glockenapfel
Deepin,Debian
Who Framed Roger Rabbit,Who Censored Roger Rabbit?
Υ,𐤅
Cripps Pink,Golden Delicious
Pinova,Golden Delicious
Elstar,Golden Delicious
A Christmas Carol,A Christmas Carol
A Study in Pink,A Study in Scarlet
A Study in Pink,A Study in Scarlet
gOS,Ubuntu
Lubuntu,Ubuntu
Kubuntu,Ubuntu
Linux Mint,Ubuntu
Mildred Pierce,Mildred Pierce
Π,𐤐
Mary Poppins,Mary Poppins
openSUSE,SUSE Linux
Cameo,Red Delicious
Song of the South,Uncle Remus
Go Ask Alice,Go ask Alice
Fedora,Red Hat Linux
Idared,Wagener
