Subject,Object
La Serena,La Serena
Feldkirch,Feldkirch District
Bolków,Gmina Bolków
Gori,Shida Kartli
Trzebnica,Gmina Trzebnica
Bardo,Gmina Bardo
Aleksandrów Łódzki,Gmina Aleksandrów Łódzki
Jablonec nad Nisou,Jablonec nad Nisou District
Puerto Montt,Puerto Montt
Puerto Montt,Puerto Montt
Izeh,Izeh County
Kerman,Kerman Province
"Paraíso, Costa Rica",Paraíso Canton
Salzburg,Salzburg
Filadelfia de Guanacaste,Carrillo Canton
Bierutów,Gmina Bierutów
Desamparados,Desamparados Canton
Ipur,Ipur mandal
Osorno,Osorno
Osorno,Osorno
Náchod,Náchod District
Kańczuga,Gromada Kańczuga
Punta Arenas,Punta Arenas
Punta Arenas,Punta Arenas
Temuco,Temuco
Temuco,Temuco
Kęty,Gmina Kęty
Batumi,Adjar Autonomous Soviet Socialist Republic
Batumi,Adjara
Valparaíso,Valparaíso
Valparaíso,Valparaíso
Wołów,Gmina Wołów
Wołów,Wołów County
Nekarikallu,Nekarikallu mandal
Arovo,Arovsky
Góra,Gmina Góra
Viña del Mar,Viña del Mar
Illorsuit,Illorsuit Island
Iquique,Iquique
Rustavi,Kvemo Kartli
Chabatovichy,Thebatovithky Selsovet
Khorramabad,Lorestan Province
Khorramabad,Khorramabad County
Schwaz,Schwaz District
Dowsk,Doŭsk Sieĺsaviet
Głogówek,Gmina Głogówek
Quesada,San Carlos Canton
Valdivia,Valdivia
Valdivia,Valdivia
Nuzendla,Nuzendla mandal
