Subject,Object
Grooms and Horses,Metropolitan Museum of Art
Frolicking Figures and Animals,Metropolitan Museum of Art
Emperor Xuanzong's Flight to Shu,Metropolitan Museum of Art
Finches and bamboo,Metropolitan Museum of Art
Ewer,Metropolitan Museum of Art
Ewer,Metropolitan Museum of Art
Ewer,Metropolitan Museum of Art
Ewer in the Shape of a Sitting Dog,Metropolitan Museum of Art
Ewer,Metropolitan Museum of Art
Covered ewer,Metropolitan Museum of Art
Small ewer,Metropolitan Museum of Art
Ewer,Metropolitan Museum of Art
Adoration of the Magi,Uffizi Gallery
Adoration of the Magi,Uffizi Gallery
Crucifix no. 434,Uffizi Gallery
Crucifix with stories of the Passion and Redemption,Uffizi Gallery
Madonna and Child with a Monkey,National Museum in Warsaw
Burt Rutan: The real future of space exploration,TED conferences
Amy Smith: Simple designs to save a life,TED conferences
Hans Rosling: The best stats you've ever seen,TED conferences
Al Gore: Averting the climate crisis,TED conferences
"Hans Rosling: Insights on HIV, in stunning data visuals",TED conferences
Bill Gates: Innovating to zero!,TED conferences
Ilona Szabó de Carvalho: 4 lessons I learned from taking a stand against drugs and gun violence,TED conferences
Robert Muggah: How to protect fast-growing cities from failing,TED conferences
Alessandra Orofino: It’s our city. Let’s fix it,TED conferences
Jorge Soto: The future of early cancer detection?,TED conferences
"Aakash Odedra: A dance in a hurricane of paper, wind and light",TED conferences
Oren Yakobovich: Hidden cameras that film injustice in the world’s most dangerous places,TED conferences
Charles Robertson: Africa's next boom,TED conferences
Paul Kemp-Robertson: Bitcoin. Sweat. Tide. Meet the future of branded currency.,TED conferences
Andras Forgacs: Leather and meat without killing animals,TED conferences
Alessandro Acquisti: What will a future without secrets look like?,TED conferences
Hetain Patel: Who am I? Think again,TED conferences
"Peter Doolittle: How your ""working memory"" makes sense of the world",TED conferences
Bastian Schaefer: A 3D-printed jumbo jet?,TED conferences
Joseph Kim: The family I lost in North Korea. And the family I gained.,TED conferences
"Sheikha Al Mayassa: Globalizing the local, localizing the global",TED conferences
Lauren Zalaznick: The conscience of television,TED conferences
Joan Halifax: Compassion and the true meaning of empathy,TED conferences
"Eve Ensler: Suddenly, my body",TED conferences
Shirin Neshat: Art in exile,TED conferences
Astrolabe-Quadrant: Sutton-type,Adler Planetarium
Astrolabe-Quadrant: Sutton-type,Adler Planetarium
Astrolabe-Quadrant: Gunter-type,Adler Planetarium
Astrolabe-Quadrant: Universal Horizon/Azimuth,Adler Planetarium
Astrolabe-Quadrant: Gunter-type,Adler Planetarium
Astrolabe-Quadrant: Sutton-type,Adler Planetarium
Astrolabe: Stellar Compass,Adler Planetarium
Grandmother's Colour Button Collection,Teresia and Rafael Lönnström Foundation art collection
In Plenty,Teresia and Rafael Lönnström Foundation art collection
Zen,Teresia and Rafael Lönnström Foundation art collection
In Plenty,Teresia and Rafael Lönnström Foundation art collection
Zen,Teresia and Rafael Lönnström Foundation art collection
Inariyama Sword,Saitama Prefectural Museum of the Sakitama Ancient Burial Mounds
Appliqué inv. 848,Arenys de Mar Museum
Appliqué inv. 739,Arenys de Mar Museum
Appliqué inv. 734,Arenys de Mar Museum
Appliqué inv. 733,Arenys de Mar Museum
Untitled,The Phillips Collection
The Last Judgment,National Gallery of Art
Portrait of Madame Récamier,Department of Paintings of the Louvre
Unfinished Portrait of General Bonaparte,Department of Paintings of the Louvre
Unfinished Portrait of General Bonaparte,Department of Paintings of the Louvre
Portrait of Madame Récamier,Department of Paintings of the Louvre
Crucifix,Department of Paintings of the Louvre
Painted Cross,Department of Paintings of the Louvre
The Serpent Chooses Adam and Eve,private collection
Arm Reliquary of the Apostles,Cleveland Museum of Art
"Monstrance with the ""Paten of Saint Bernward""",Cleveland Museum of Art
Votive or Civic Badge with a Crowned Figure Kneeling before Christ,Cleveland Museum of Art
Reliquary of the True Cross,Cleveland Museum of Art
Table Fountain,Cleveland Museum of Art
Carved Bowl,Cleveland Museum of Art
Cup,Cleveland Museum of Art
Bull's-head Lamp,Cleveland Museum of Art
Bes Lamp,Cleveland Museum of Art
Black-Topped Bowl,Cleveland Museum of Art
Decorated Amphora with Ibex Head,Cleveland Museum of Art
Barbotine Vase,Cleveland Museum of Art
Teapot,Cleveland Museum of Art
Teapot,Cleveland Museum of Art
Cup,Cleveland Museum of Art
Candelabrum,Cleveland Museum of Art
Teapot,Cleveland Museum of Art
Cocktails and Cigarettes Punch Bowl,Cleveland Museum of Art
Plate with the Arms of the Pucci Family,Cleveland Museum of Art
Blackware Olla,Cleveland Museum of Art
Plate with the Arms of the Vitelleschi Family,Cleveland Museum of Art
Bottle,Cleveland Museum of Art
Plate,Cleveland Museum of Art
Heraldic Roundel with Arms of the Canton of Zürich,Cleveland Museum of Art
Beaker,Cleveland Museum of Art
Panneaux cintré Deux Pigeons,Cleveland Museum of Art
Carafe Sirènes et Grenouilles,Cleveland Museum of Art
Panneaux cintré Deux Pigeons,Cleveland Museum of Art
Fifth Figure,Cleveland Museum of Art
Jug,Cleveland Museum of Art
sword with fan-shaped pommel,Department of Near Eastern Antiquities of the Louvre
The Virgin and Child with Saint Andrew and Saint Peter,National Galleries of Scotland
The Virgin and Child with Saint Andrew and Saint Peter,National Galleries of Scotland
The Virgin and Child with Saint Andrew and Saint Peter,National Galleries of Scotland
The Virgin and Child with Saint Andrew and Saint Peter,National Galleries of Scotland
Szczerbiec,Wawel Royal Castle National Art Collection
Relic-holding sword,Musée de l'Armée
Homenagem do Presidente Campos Salles A Santos Dumont,Museu Paulista collection
Homenagem do Aero Club de France A Santos Dumont,Museu Paulista collection
"Concurso ""Quem Deu Asas Ao Homem""",Santos Dumont Collection
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",Santos Dumont Collection
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",Santos Dumont Collection
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",Santos Dumont Collection
Medalha Inter Aliados 1914-1918,Santos Dumont Collection
Homenagem do Aero Club de France A Santos Dumont,Santos Dumont Collection
Homenagem do Aero Club de France A Santos Dumont,Santos Dumont Collection
Cinqüentenário do 1º Vôo do 14 Bis de Santos Dumont,Santos Dumont Collection
Homenagem do Aerolloyd Iguassú A Santos Dumont,Santos Dumont Collection
Plaqueta em Homenagem A Santos Dumont,Santos Dumont Collection
Homenagem A Henry Bazin,Santos Dumont Collection
Homenagem Ao Dr. Arnaldo Vieira de Carvalho,Santos Dumont Collection
Jogo Padrão,Santos Dumont Collection
Copo,Santos Dumont Collection
Copo,Santos Dumont Collection
Copo,Santos Dumont Collection
Copo,Santos Dumont Collection
Copo,Santos Dumont Collection
Chapa Circular,Santos Dumont Collection
Chapa Circular,Santos Dumont Collection
Chapa Circular,Santos Dumont Collection
From Vækerø,Oslo Museum
Portrait of J.C. Dahl,Oslo Museum
Landscape with castle,Hermitage Museum
Landscape with castle,Hermitage Museum
Landscape with castle,Hermitage Museum
Skyphos,Musée Saint-Raymond
"Musée Saint-Raymond, 26369",Musée Saint-Raymond
"Musée Saint-Raymond, 26395",Musée Saint-Raymond
"Musée Saint-Raymond, 26369",Musée Saint-Raymond
Memorial Gilded Ewer for Amsterdam Guild in Memory of the Artist's Brother,Rijksmuseum
