Subject,Object
Hällgrund,white
The Prude's Fall,black-and-white
Souls for Sables,black-and-white
A Man's Man,black-and-white
The Squaw Man,black-and-white
Night of the Living Dead,black-and-white
The Mummy,black-and-white
The Santa Fe Trail,black-and-white
A Dangerous Adventure,black-and-white
Les Vampires,black-and-white
In the Days of Daniel Boone,black-and-white
Wynaut,blue
Pietarsaari lighthouse,green
Xatu,green
Vallinsgrundet,gray
Probopass,gray
Magnezone,gray
Magnemite,gray
Durant,gray
Escavalier,gray
Örngrund,red
Bisharp,red
Exeggutor,yellow
Hypno,yellow
Drowzee,yellow
Girafarig,yellow
