Subject,Object
Keramasan railway station,Prabumulih–Kertapati railway
Wapping railway station,East London Line
Wapping railway station,East London Line
Surrey Quays railway station,East London Line
Berlin Südkreuz station,Anhalt Railway
Berlin Südkreuz station,Anhalt Railway
Aldwych tube station,Piccadilly line
Aldwych tube station,Piccadilly line
Hachinohe Freight Terminal,Aoimori Railway Line
Waterloo tube station,Bakerloo line
Charing Cross tube station,Bakerloo line
Regent Centre Interchange,Green line
Regent Centre Interchange,Green line
Funamichō Station,Shiomichō Line
Shiomichō Station,Shiomichō Line
Mikajiri Station,Mikajiri line
Bank and Monument stations,Central line
Osnabrück Central Station,Wanne-Eickel–Hamburg railway
Longbenton metro station,Yellow line
Four Lane Ends Interchange,Yellow line
Canning Town,Docklands Light Railway
Gifu Freight Terminal,Tōkaidō Main Line
30th Street Station,Northeast Corridor
Himeji Kamotsu Station,San’yō Main Line
Kōbe Freight Terminal,San’yō Main Line
Nagoya Freight Terminal,Aonami Line
Victoria tube station,Victoria line
