Subject,Object
Japan National Route 499,Japan National Route 324
Unter den Linden,Glinkastraße
Unter den Linden,Schlossbrücke
Kasat Suek Intersection,Rama I road
Si Phraya Intersection,Charoen Krung Road
Line 1,Chengdu–Kunming railway
Japan National Route 57,Japan National Route 10
Japan National Route 57,Japan National Route 10
Japan National Route 57,Japan National Route 10
Holborn Circus,Charterhouse Street
Holborn Circus,Charterhouse Street
Japan National Route 197,Japan National Route 56
Japan National Route 436,roadside station in Japan
Japan National Route 436,roadside station in Japan
Ratchawong Intersection,Yaowarat Road
Line 7,Line 2
Line 8,Line 2
Capital Airport Express,Line 2
Japan National Route 350,Japan National Route 113
Japan National Route 350,Japan National Route 116
Japan National Route 317,Japan National Route 11
Mills Junction,Utah State Route 78
Namboku Line,Tōhoku Main Line
Namboku Line,Sasshō Line
Elephant Square,London Road
Elephant Square,London Road
Osaka Metro Chūō Line,Nagahori Tsurumi-ryokuchi Line
Kurfürstendamm,Tauentzienstraße
Kurfürstendamm,Fasanenstraße
Kaigan Line,JR Kobe Line
Hua Lamphong intersection,Rama IV street
Maitri Chit Intersection,Rama IV street
Tuek Chai Intersection,Ratchawithi Road
Uphaichetsaduthit intersection,Ratchawithi Road
Line 9,Line 4
Line 10,Line 4
Line 13,Line 4
Meijō Line,Yutorito Line
Bang Lamphu Intersection,Sam Sen Road
Bang Krabue Intersection,Sam Sen Road
