Subject,Object
Maidan Wardak,Maidanshahr
Hortaleza,Palomas
Kitaakita District,Kamikoani
3rd arrondissement of Paris,Archives
3rd arrondissement of Paris,Archives
Žďár nad Sázavou,Mělkovice
Zizhuyuan Subdistrict,Military Band
Breisgau-Hochschwarzwald,Auggen
Breisgau-Hochschwarzwald,Badenweiler
Jowzjan,Mingajik District
Vienna,Neubau
Vienna,Floridsdorf
San Juan County,Friday Harbor
Ciudad Lineal,Pueblo Nuevo
Brevard County,Titusville
Fulda,Flieden
Fulda,Hilders
Fulda,Gersfeld
Böblingen,Sindelfingen
Gadsden County,Quincy
Bay County,Panama City
canton of Arnay-le-Duc,Voudenay
canton of Arnay-le-Duc,Voudenay
Shinjuku-ku,Nishi-Shinjuku
Shinjuku-ku,Nishi-Shinjuku
Shizuoka,Shimizu-ku
Shizuoka,Shimizu-ku
5th arrondissement of Paris,Saint-Victor
Ecclesiastical province of Pamplona and Tudela,Roman Catholic Diocese of Jaca
Viveiro,Covas
Viveiro,Covas
Collingsworth County,Wellington
Daniel Alcides Carrión Province,Yanahuanca
canton of Vic-sur-Aisne,Nouvron-Vingré
Kendrapara district,Kendrapara subdivision
Scarborough,Westerdale
La Comarca de Utiel-Requena,Sinarcas
Bankura district,Khatra subdivision
Roman Catholic Ecclesiastical Province of Tyre,Melkite Catholic Archeparchy of Tyre
Mühldorf,Mühldorfer Hart
Mühldorf,Heldenstein
Stevens County,Colville
Tübingen,Rottenburg am Neckar
Ecclesiastical Province of Bangkok,Roman Catholic Diocese of Chanthaburi
Genesee County,Flint
Sapporo,Shiroishi-ku
canton of Saint-Médard-en-Jalles,Saint-Médard-en-Jalles
Polesia Voblast,Hlusk District
Polesia Voblast,Mazyr District
Kácov,Zderadinky
Fuencarral-El Pardo,Valverde
6th arrondissement of Paris,Saint-Germain-des-Prés
Alto Mijares,Ludiente
canton of Pessac-2,Pessac
Prachatice,Libínské Sedlo
Indian River County,Vero Beach
Ribera Alta,Llombai
Main-Kinzig-Kreis,Gründau
Main-Kinzig-Kreis,Bruchköbel
Main-Kinzig-Kreis,Hanau
Ticino,Bellinzona District
Tuttlingen,Frittlingen
Tuttlingen,Gosheim
Tuttlingen,Königsheim
Kreis Bergstraße,"Rimbach, Hesse"
Canton of Geneva,Aire-la-Ville
Rottweil,Deißlingen
Plana Baixa,Vila-real
Khovd Province,Mönkhkhairkhan
Trutnov,Adamov
Kasukabe,Chūō
Kasukabe,Kasukabe
Podkarpackie Voivodeship,Leżajsk County
Bulgan Province,Bulgan
Chelmsford,Chignall
Chelmsford,Chignall
Chouteau County,Fort Benton
Qinglongqiao Subdistrict,Xiyuan
canton of Thury-Harcourt,Saint-Rémy
Yongxing,Yuzha
Vall d'Albaida,Beniatjar
Ludwigsburg,Freiberg am Neckar
Ludwigsburg,Ludwigsburg
Graz,Straßgang
Graz,Ries
Yanyuan Subdistrict,Chengzeyuan
Yanyuan Subdistrict,Chengzeyuan
Tetuán,Almenara
Vicálvaro,El Cañaveral
1st arrondissement of Paris,Place-Vendôme
