Subject,Object
Blackhat,Colleen Atwood
Fantastic Beasts and Where to Find Them,Colleen Atwood
Star Trek Beyond,Sanja Milkovic Hays
Battle of Warsaw 1920,Magdalena Tesławska
The Shape of Water,Luis Sequeira
Son of Saul,Edit Szűcs
Child 44,Jenny Beavan
Mad Max: Fury Road,Jenny Beavan
Joker,Mark Bridges
Another Way,Emőke Csengey
Absolutely Anything,James Acheson
300: Rise of an Empire,Alexandra Byrne
Thor,Alexandra Byrne
Black Panther,Ruth E. Carter
The Dark Valley,Natascha Curtius-Noss
Sunset,Györgyi Szakács
Pan,Jacqueline Durran
Schindler's List,Anna B. Sheppard
War Horse,Joanna Johnston
Pulp Fiction,Betsy Faith Heimann
Gemini Man,Suttirat Anne Larlarb
