Subject,Object
Jiujiang Yangtze River Bridge,Yangtze
Tianxingzhou Yangtze River Bridge,Yangtze
Jiujiang Yangtze River Bridge,Yangtze
Wuhu Yangtze River Bridge,Yangtze
Caiyuanba Bridge,Yangtze
Göltzschtalbrücke,Göltzsch
Göltzsch Viaduct,Göltzsch
Göltzsch Viaduct,Göltzsch
Göltzschtalbrücke,Göltzsch
Göltzsch Viaduct,Göltzsch
Göltzschtalbrücke,Göltzsch
Herbettes Aqueduct,A620 autoroute
Čiovo bridge,Trogirski Kanal
Smithfield Street Bridge,Monongahela River
Monocacy Aqueduct,Monocacy River
Passyunk Avenue Bridge,Schuylkill River
Siuslaw River Bridge,Siuslaw River
Siuslaw River Bridge,Siuslaw River
Orbiel Aqueduct,Orbiel
Kelvin Aqueduct,Kelvin
Aldford Iron Bridge,River Dee
Cesse Aqueduct,Cesse
Brenztalbrücke,Brenz
Brenztalbrücke,Brenz
Brenztalbrücke,Brenz
Brenztalbrücke,Brenz
Naviduct Krabbersgat,Provincial road N302
Hohenzollern Bridge,Rhine
Dom Luís I Bridge,Douro River
Dom Luís I Bridge,Douro River
Ponto do Pocinho,Douro River
Stretton Aqueduct,A5 road
Fresquel Aqueduct,Fresquel
Gerickesteg,Spree
Øresund Bridge,Øresund
