Subject,Object
Wounded horse,wound
Sphinx of king Siamon-E 3914,Siamun
Sphinx of king Siamon-E 3914,Sphinx
Sphinx of king Siamon-E 3914,Sacrifice Ritual
Portraits of Juan II Pardo and his Wives Anna Ingenieulandt and Maria Ancheman,family
Gladiator with sword,gladiator
Naked man or gladiator,gladiator
Horses Amphora,rosette
Horses Amphora,palmette
Horses Amphora,volute
Frolicking Figures and Animals,man
Emperor Xuanzong's Flight to Shu,man
The Tennis Court Oath,Maximilien Robespierre
Unfinished Portrait of General Bonaparte,man
The Tennis Court Oath,man
Unfinished Portrait of General Bonaparte,Napoleon
Male bust-MAHG Inv eg 12,man
Largo do Paço,Mosteiro de São Bento
Napoleon I,bicorne
Napoleon I,greatcoat
Attic black-figure votive plate,bull
Chapa Circular,round
The Orpheus Clock : the search for my family's art treasures stolen by the Nazis,Max Jakob Friedländer
Amenophis II-E 3176,Amenhotep II
"Prainha, vista da Saúde",Gamboa
Gamboa e Caju,Gamboa
Grooms and Horses,horse
untitled,Cyanistes caeruleus
untitled,tree
Terracotta amphora,sacrificial tripod
playing children,rocking horse
playing children,Leucanthemum
Winston Churchill Memorial,Winston Churchill
Carta Geral do Estado de São Paulo,São Paulo
Mapa de Estradas de Rodagem,São Paulo
Carta Geral do Estado de S. Paulo,São Paulo
Carta Geologica do Estado de S. Paulo,São Paulo
Carta Geral do Estado de S. Paulo,São Paulo
Carta Geral do Estado de São Paulo,São Paulo
Carta Geral do Estado de São Paulo,São Paulo
Carta Geral do Estado de S. Paulo,São Paulo
"Capela Inglesa, Rua dos Barbonos e Arcos",Carioca Aqueduct
Maçarico,part
Maçarico,part
Palácio Imperial,Museu Nacional
Bust of a young girl-RHO.2007.00.1941,girl
General Duroc at Castiglione,Géraud Duroc
Lady Henen-E 33145,wife
Gotthelf memorial,Jeremias Gotthelf
Cesnola krater,tree of life
Cesnola krater,hydria
Fête de la Fédération au Champ de Mars. 14 juillet 1790,bishop
Diptych of Jean Carondelet,Jan II Carondelet
Leoš Janáček memorial plaque,Leoš Janáček
"Musée Saint-Raymond, 26411",woman
"Musée Saint-Raymond, 26422",woman
"Musée Saint-Raymond, 26411",woman
"Musée Saint-Raymond, 26422",woman
St John Altarpiece,woman
St John Altarpiece,woman
Portrait of Madame Récamier,couch
The Virgin and Child with Saint Andrew and Saint Peter,Peter
The Virgin and Child with Saint Andrew and Saint Peter,boy
Adoration of the Magi,woman
Portrait of Madame Récamier,woman
The Virgin and Child with Saint Andrew and Saint Peter,woman
Adoration of the Magi,Virgin Mary
The Virgin and Child with Saint Andrew and Saint Peter,Virgin Mary
Ghent Altarpiece,woman
Seven Sorrows Polyptych,woman
Ghent Altarpiece,Virgin Mary
Seven Sorrows Polyptych,Virgin Mary
Diptych of Munich,angel
Diptych of Munich,Virgin Mary
Kylix by the Providence Painter,meander
attic geometric Neck amphora,meander
Kylix by the Providence Painter,oenochoe
Kylix by the Providence Painter,krater
Return of the prodigal son-Clémence Sophie de Sermezy-MG 4738,Return of the Prodigal Son
Bust of Jean-Jacques Rousseau-MAH 1825-0028,Jean-Jacques Rousseau
Landscape with castle,broad-leaved tree
Landscape with castle,landscape
Landscape with castle,bridge
Neck Amphora by Exekias,Theseus
"Design drawing from the Jos De Beer collection, ref. obj-0002530",religious building
"Design drawing from the Jos De Beer collection, ref. obj-0002523",religious building
"Design drawing from the Jos De Beer collection, ref. obj-0002690",religious building
"Design drawing from the Jos De Beer collection, ref. obj-0002690",religious building
"Design drawing from the Jos De Beer collection, ref. obj-0002693",religious building
"Palm Beach Babylon: Sins, Scams, and Scandals",Lee Harvey Oswald
Triptych of Adriaan Reins,Jesus Christ
The Von Bülow Affair : the Objective Behind-the-Scenes Account of the Shocking Attempted Murder Case,Alan Dershowitz
Entrada da barra,Sugarloaf Mountain
Padiimenenmipet-D 27,priest
Jogo Padrão,group
Jogo Padrão,group
Jogo Padrão,group
Jogo Padrão,group
Altarpiece of Santos-o-Novo,resurrection of Jesus
Wepwawet-AF 287,Wepwawet
Finches and bamboo,calligraphy
Christ before Pilate,Pilate's court
Wadjet-E 4720,Wadjet
Wadjet-E 4720,cobra
St John the Baptist and Veronica Diptych,John the Baptist
St John the Baptist and Veronica Diptych,John the Baptist
Judgement of Cambyses,dog
flying geese,Mallard
Bust of Charles Bonnet-MAH 1825-0027,Charles Bonnet
Tiger devouring a gazelle,Gazella
Tiger devouring a gazelle,predation
Terracotta aryballos signed by Nearchos,signature
Convento da Ajuda,Santa Teresa
Bust of Comenius,Johann Amos Comenius
