Subject,Object
"2012 Eneco Tour, Stage 2",Sittard
1982 Tour of the Netherlands,Sittard
2014 La Flèche Wallonne,Huy
2019 La Flèche Wallonne,Huy
2018 La Flèche Wallonne,Huy
2017 La Flèche Wallonne,Huy
2019 Paris–Roubaix,Roubaix
2018 Paris–Roubaix,Roubaix
2015 Paris–Roubaix,Roubaix
2017 Paris–Roubaix,Roubaix
"2018 Tour de France, stage 3",Cholet
1977 Tour of the Netherlands,Heerlerheide
2018 Giro d'Italia Stage 16,Rovereto
"2017 Healthy Ageing Tour, Stage 2",Baflo
"2019 Giro d'Italia, stage 17",Rasen-Antholz
"2019 Giro d'Italia, stage 17",Rasen-Antholz
"2019 Giro d'Italia, stage 17",Rasen-Antholz
"2018 Healthy Ageing Tour, Stage 3b",Stadskanaal
"2018 Settimana Internazionale di Coppi e Bartali, Stage 1b",Gatteo
2018 Vuelta del Uruguay stage 2a,Rocha
"2018 Giro d'Italia Femminile, stage 1",Verbania
"2018 Giro d'Italia Femminile, stage 1",Verbania
1985 Tour of the Netherlands,'s-Hertogenbosch
"2019 Vuelta a España, stage 6",Ares del Maestrat
"2019 Tour de France, stage 2",Brussels
"2019 Giro d'Italia, stage 15",Como
"2019 Giro d'Italia, stage 15",Como
"2019 Vuelta a España, stage 8",Igualada
"Eneco Tour 2011, Stage 4",Roermond
1981 Tirreno–Adriatico,San Benedetto del Tronto
2014 Tirreno–Adriatico,San Benedetto del Tronto
1974 Tirreno–Adriatico,San Benedetto del Tronto
2014 Tirreno–Adriatico,San Benedetto del Tronto
2015 Tirreno–Adriatico,San Benedetto del Tronto
2006 Tirreno–Adriatico,San Benedetto del Tronto
1969 Tirreno–Adriatico,San Benedetto del Tronto
1981 Tirreno–Adriatico,San Benedetto del Tronto
1968 Tirreno–Adriatico,San Benedetto del Tronto
1975 Tirreno–Adriatico,San Benedetto del Tronto
1972 Tirreno–Adriatico,San Benedetto del Tronto
2012 Tirreno–Adriatico,San Benedetto del Tronto
"2018 Tour de France, stage 20",Espelette
2018 Critérium du Dauphiné stage 3,Louhans
"2013 Tour des Fjords, Stage 3",Stavanger
1979 Tour of the Netherlands,Beekse Bergen
"2017 Vuelta a Guatemala, Stage 6",Champerico
"2018 Tirreno-Adriatico, Stage 1",Lido di Camaiore
