Subject,Object
64 Trump Collection: Alice no Waku Waku Trump World,Bottom Up
Xbox One,Microsoft
Xbox 360,Microsoft
.NET Framework,Microsoft
Uno,Carbonated Games
Uno,Carbonated Games
Atari Lynx,Epyx
V.I.P. Casino: Blackjack,High Voltage Software
Atari Jaguar,Atari Corporation
Cygwin,Red Hat
id Tech 3,id Software
Quake engine,id Software
id Tech 3,id Software
Texas Hold'em King,Magmic
Dendy,Viktor Savyuk
World Series of Poker: Full House Pro,Pipeworks Software
Open Telecom Platform,Ericsson
Virtual Boy,Nintendo Research & Development 1
Solitaire,Wes Cherry
Magnavox Odyssey²,Magnavox
Marvel Trading Card Game,Vicious Cycle Software
Spectromancer,Apus Software
Adobe AIR,Adobe
3DO Interactive Multiplayer,The 3DO Company
