Subject,Object
Arruntia,10.5
Mu Arae,1840000.0
Aconia,19.0
Bruttia,20.7
Gliese 412,600000.0
Nestor,38.2
Astrolabe-Quadrant: Sutton-type,11.7
Astrolabe-Quadrant: Sutton-type,15.3
Astrolabe-Quadrant: Sutton-type,11.7
Tupi,1490000.0
KIC 4937056,15200000.0
Rhexenor,38.0
Phemius,75.9
Astrolabe-Quadrant: Gunter-type,16.0
Astrolabe-Quadrant: Universal Horizon/Azimuth,16.0
Astrolabe-Quadrant: Gunter-type,12.8
Africana,25.4
Periboea,51.0
HD 27894,1100000.0
Poseidon,63.0
Polycaste,23.0
KIC 5200152,15100000.0
Philoetius,28.3
Zlyden,44.0
Angioletta,18.4
KIC 5024043,13500000.0
HD 154345,1180000.0
Antonia,16.8
Astrolabe: Stellar Compass,19.4
Albia,5.79
Ormenus,39.8
Bellicia,41.7
KIC 5111949,15000000.0
Oenops,25.7
Kapteyn's Star,475000.0
Aelia,4.34
