Subject,Object
Trolls,Yong Duk Jhun
Chuck,Robert Reed Altman
The Dark Valley,Thomas Kiennast
Cars 3,Newton Thomas Sigel
Battle of Warsaw 1920,Sławomir Idziak
Pippi Longstocking,Kalle Bergholm
The 100,Philip Linzey
Bella Australia,Peter Döttling
The Expanse,Jeremy Benning
Child 44,Philippe Rousselot
Fantastic Beasts and Where to Find Them,Philippe Rousselot
How to Train Your Dragon 2,Roger Deakins
How to Train Your Dragon 2,Roger Deakins
How to Train Your Dragon 2,Roger Deakins
How to Train Your Dragon 2,Roger Deakins
How to Train Your Dragon 2,Roger Deakins
Gemini Man,Dion Beebe
Tatort: Goldbach,Andreas Schäfauer
Thor,Haris Zambarloukos
300: Rise of an Empire,Simon Duggan
Another Way,Tamás Andor
Castle,Bill Roe
The West Wing,Thomas Del Ruth
The West Wing,Thomas Del Ruth
Breaking Bad,John Toll
Breaking Bad,John Toll
Miracle of the White Stallions,Günther Anders
Blackhat,Stuart Dryburgh
Nebelwand,Wolfgang Aichholzer
Ich heirate eine Familie,Atze Glanert
Underdogs,Félix Monti
Pan,John Mathieson
Bloch: Verfolgt,Jürgen Carle
Bloch: Der Mann im Smoking,Jürgen Carle
American Hustle,Linus Sandgren
Black Panther,Rachel Morrison
The Three Lives of Thomasina,Paul Beeson
Greyfriars Bobby,Paul Beeson
The Three Lives of Thomasina,Michael Reed
Star Trek Beyond,Stephen F. Windon
Moana,Rob Dressel
Moana,Rob Dressel
Tatort: Der wüste Gobi,Kristian Leschner
Zootopia,Nathan Warner
Zootopia,Nathan Warner
Zootopia,Nathan Warner
Zootopia,Nathan Warner
Zootopia,Nathan Warner
The New Mutants,Peter Deming
The Shape of Water,Dan Laustsen
Sunset,Mátyás Erdély
Son of Saul,Mátyás Erdély
Bloch: Fleck auf der Haut,Thomas Makosch
Bloch: Silbergraue Augen,Thomas Makosch
Avatar 2,Russell Carpenter
House of Cards,Eigil Bryld
Bloch: Ein krankes Herz,Frank Amann
Unter Verdacht: Die falsche Frau,Bernd Fischer
Mad Max: Fury Road,John Seale
Captives,Francisco Gózon
Turn: Washington's Spies,Marvin V. Rush
Wonder Woman 1984,Matthew Jensen
Batman,Sam Leavitt
Bloch: Der Fremde,Stefan Sommer
Absolutely Anything,Peter Hannan
Schindler's List,Janusz Kamiński
War Horse,Janusz Kamiński
