Subject,Object
Rusová,800.0
Tisůvka,800.0
Suceava,325.0
Arad,570.0
Bolków,380.0
Csongrád,83.0
Szekszárd,83.0
Karan,388.0
Maidan Wardak,2848.0
Wurmsöd,468.0
Quebec Terrace Park,59.0
Gánovce,642.0
Holzkirchen station,682.0
Straubing Wallmühle Airport,321.0
Allendorf Airport,355.0
Española Island,125.0
Dimitrovgrad,125.0
Corvallis,72.0
Chicago,176.0
Marburg-Biedenkopf,284.0
Centre Township,1375.0
Bantolinao Point Lighthouse,6.0
San Juan de Nicaragua,6.0
Breisgau-Hochschwarzwald,394.0
Breisgau-Hochschwarzwald,394.0
Castra Lambaesis,1205.0
Asenovgrad,269.0
Ács,122.0
Castra of Niederbieber,91.0
Böblingen,444.0
Borgo Chiese,444.0
Floreana Island,444.0
Trevignano,85.0
Tupelo,85.0
Bend,1104.0
Głogówek,212.0
Hutton Township,212.0
Remseck am Neckar,212.0
Castra of Lorch,289.0
Baraf,23.0
Batumi,3.0
Batumi,3.0
En Toull Bihan,3.0
Shippan Point,3.0
Fiscaglia,3.0
Waldeck-Frankenberg,374.0
Steenerson Township,374.0
Mwinilunga District,1424.0
Salladasburg,199.0
Balchik,199.0
Gualda,764.0
Fort Wayne,247.0
Ikelenge,1384.0
Cottbus-Drewitz Airport,84.0
Arrecife Algerine,51.0
Santo Domingo Tehuantepec,51.0
"Levski, Pleven Province",51.0
Itziar,275.0
Alafia,275.0
Togou,275.0
Veszprém,266.0
Ludwigsburg,266.0
Ludwigsburg,266.0
Woodland Township,181.0
Ješkova Ves,223.0
Orlovická hora,662.0
Boura,440.0
Schafweid,440.0
Kleinkastell Gündersbach,438.0
Umtali Heights,1581.0
Botana Reef,73.0
Montgomery,73.0
Torre d'Escaló,933.0
Ungova Communal Land,933.0
Waldhörn,443.0
Toulouse-Francazal Air Base,163.0
Bükkszentkereszt,587.0
Castra of Oberhochstatt,587.0
Antsiferov Island,761.0
Balla-Ougonor,26.0
Detroit,183.0
Malmo Township,391.0
Uherské Hradiště,179.0
"El Palmar, Murcia",67.0
San José de Cusmapa,1288.0
Llano de Brujas,39.0
Osorno,39.0
Osorno,39.0
Castra of Altenstadt,129.0
Meritxell,2209.0
Zambezi District,1075.0
Balinghore,21.0
Rügen Airport,21.0
Sgùrr Alasdair,992.0
Sgùrr Alasdair,992.0
Desamparados,1148.0
Yorosso Cercle,420.0
Santa María de Pantasma,420.0
Thalöd,420.0
Pasecká skála,819.0
L'Aldosa de Canillo,1722.0
Großhelfendorf station,613.0
Sangonera la Verde,95.0
Eislingen/Fils,336.0
Yatsukai-shō,42.0
Altoona,273.0
Abdet,630.0
Otterstadter Altrhein,90.0
Robins Air Force Base,90.0
Fion,337.0
Živanické jezero,205.0
Kęty,315.0
Turda,315.0
Koromo,315.0
Nashville,182.0
Tshatshani Communal Land,1050.0
Val di Chy,610.0
Jaqueville department,8.0
Iserlohn,253.0
Salem,467.0
Salem,467.0
Torres d'Ogern,467.0
Kasempa District,1232.0
Zimbiti Communal Land,1232.0
Zimbiti Communal Land,1175.0
Vizslás,232.0
Mainz Finthen Airport,232.0
Langhorne,213.0
Peperek,675.0
Currie Point,11.0
New York City,11.0
Weinstadt,241.0
Appleton,241.0
Appleton,241.0
Peralta de la Sal,523.0
Luzerne,627.0
Luzerne,627.0
Luzerne,627.0
Žarnov,197.0
Pittsburgh,373.0
Dominguez Canyon Wilderness,6207.0
Kangaamiut,28.0
Kangaamiut,28.0
Weston Lake,28.0
La Serena,28.0
Kalulushi District,1264.0
San Antonio,198.0
San Antonio,198.0
Dawson Reef,9.0
Lelydorp,9.0
Groningen,9.0
Baline,9.0
Sacramento,9.0
Solwezi District,1396.0
Xalapa,1396.0
Filadelfia de Guanacaste,17.0
Bandjikaky,17.0
Ventasso,810.0
Casciana Terme Lari,127.0
Sangre de Cristo Wilderness,14304.0
Omurtag,525.0
Ein Tzurim,53.0
Newberg,53.0
Feothanach,53.0
Salgótarján,299.0
Black Ridge Canyons Wilderness,5541.0
Neve Yam,12.0
Annapolis,12.0
Danau Lasi,12.0
Wertheim,145.0
Suzun,147.0
Beit Oren,292.0
Winnenden,292.0
Wenlock Communal Land,1022.0
Békéscsaba,89.0
Montañana,506.0
Boorowa Shire,480.0
Kingston,545.0
Kingston,545.0
Kingston,545.0
Niono Cercle,274.0
Dabakala Department,274.0
Esztergom,105.0
Punta Arenas,34.0
Punta Arenas,34.0
Ordynskoye,120.0
Buckhart Township,184.0
Penn Lake Park,1400.0
Kpomassè,40.0
Frankfurt,40.0
Frankfurt,40.0
Frankfurt,40.0
"Ixtepec, Oaxaca",40.0
Moengo,25.0
Bocholt,25.0
Balonguine,25.0
Malínská skála Sněžné,811.0
Kreuzstraße station,622.0
Kreuzstraße station,622.0
Bzová,622.0
Kuzov,414.0
Kleinkastell Gunzenhausen Hinterer Schlossberg,500.0
Maslyanino,180.0
Terre Haute International Airport,180.0
Rakovski,180.0
Gresham,91.7
Nebovazy,660.0
San Lorenzo Dorsino,758.0
Ben Vorlich,943.0
Ben Vorlich,943.0
Ben Vorlich,943.0
Irishtown Township,144.0
Armidale Dumaresq Shire,1011.0
Beinn Ìme,1011.0
Beinn Ìme,1011.0
Beinn Ìme,1011.0
Alluitsup Paa,27.0
Balla-Bassène,27.0
La Paz,27.0
Dobročkov,655.0
Viña del Mar,2.0
