Subject,Object
Sparda-Bank Südwest,779
Rottenburg University of Applied Forest Sciences,110
University of Applied Sciences Neu-Ulm,345
Sparda-Bank West,852
Nippon Steel,52205
Schmalkalden University of Applied Sciences,227
Unilever,168000
BNP Paribas,192000
Deutsche Apotheker- und Ärztebank,2563
Novartis,119418
University of Applied Sciences Meissen,86
Fachhochschule Kiel,466
Hewlett-Packard,302000
Total S.A.,100000
Total S.A.,100000
Volkswagen Group,513642
Citigroup,219000
Citigroup,219000
Weleda,1900
Weleda,1900
Merrill Lynch,60000
Merrill Lynch,60000
Fiat S.p.A.,193348
Fiat S.p.A.,193348
Sberbank of Russia,325000
Sberbank of Russia,325000
Agrofert,32730
Sparda-Bank Baden-Württemberg,699
Lucas Industries,92000
Monsanto,25500
Takata Corporation,48775
Takata Corporation,35000
General Mills,35000
Zurich Insurance Group,53146
Visa Inc.,17000
Leipzig University of Applied Science,179
Hochschule Stralsund,240
ABN AMRO,18830
ABN AMRO,18830
