Subject,Object
American Philosophical Association,philosophy
Fraunhofer Institute for Production Technology,mechanical engineering
Fraunhofer Institute for Laser Technology,mechanical engineering
Lidové divadlo,folk theatre
Les lesbiennes dépassent les frontières,lesbian
Association pour la recherche et l'archivage de la mémoire arménienne,history of Armenia
Archives LGBTQI,LGBT
American Society for Microbiology,microbiology
American Association of Physical Anthropologists,physical anthropology
Society of Marxist Historians,Marxism
Fraunhofer Institute for Material Flow and Logistics,material flow
Association Française de Catalanistes,catalan culture
Archaeological Institute of America,archaeology
Société française d'archéologie,archaeology
Archaeological Institute of America,archaeology
Comede,migrant
Hungarian Beekeepers Federation,bee-keeping
Arcade Vintage,amusement arcade
Bundesarbeitsgemeinschaft Kinder- und Jugendschutz,youth welfare services
Association for Symbolic Logic,philosophical logic
Conscience et Impact Écologique,ecology
