Subject,Object
2005 Boston Open Badminton Championships,2006 Boston Open Badminton Championships
2005 Legg Mason Tennis Classic,2006 Legg Mason Tennis Classic
2002 Texas gubernatorial election,2006 Texas gubernatorial election
1986 NBA Playoffs,1987 NBA Playoffs
1985 NBA Playoffs,1986 NBA Playoffs
Soyuz 15,Soyuz 16
1962 Swedish Open Badminton Championships,1963 Swedish Open Badminton Championships
Cabinet of Reedtz-Thott,Cabinet of Hørring
Xanadu,Four Light Years
"2012 Eneco Tour, Stage 2","2012 Eneco Tour, Stage 3"
1998 Tour of Japan,1999 Tour of Japan
1995 UCI Road World Championships – Women's road race,1996 UCI Road World Championships – Women's road race
Parade,"Sign ""O"" the Times"
2009 Tour of Japan,2010 Tour of Japan
1957 Prueba Villafranca de Ordizia,1958 Prueba Villafranca de Ordizia
1956 Prueba Villafranca de Ordizia,1957 Prueba Villafranca de Ordizia
1955 Prueba Villafranca de Ordizia,1956 Prueba Villafranca de Ordizia
1954 Prueba Villafranca de Ordizia,1955 Prueba Villafranca de Ordizia
1958 Swedish Open Badminton Championships,1959 Swedish Open Badminton Championships
Soyuz TMA-9,Soyuz TMA-10
1956 Paris-Tours,1957 Paris-Tours
1955 Paris-Tours,1956 Paris-Tours
1956 Paris-Tours,1957 Paris-Tours
1955 Paris-Tours,1956 Paris-Tours
1994 Open Gaz de France,1995 Open Gaz de France
World Esperanto Congress 1933,World Esperanto Congress 1934
"TLC: Tables, Ladders & Chairs",NXT UK TakeOver: Blackpool
2012 Tirreno–Adriatico,2013 Tirreno–Adriatico
1932 European Rowing Championships,1933 European Rowing Championships
1959 Hokkaido gubernatorial election,1963 Hokkaido gubernatorial election
1959 Hokkaido gubernatorial election,1963 Hokkaido gubernatorial election
1973 Swedish Open Badminton Championships,1974 Swedish Open Badminton Championships
1972 Swedish Open Badminton Championships,1973 Swedish Open Badminton Championships
Expedition 49,Expedition 50
1982 NHL Entry Draft,1983 NHL Entry Draft
1983 NHL Entry Draft,1984 NHL Entry Draft
1957 FA Cup Final,1958 FA Cup Final
680s,690s
"2018 Tirreno-Adriatico, Stage 1","2018 Tirreno–Adriatico, Stage 2"
1974 Tirreno–Adriatico,1975 Tirreno–Adriatico
1975 Tirreno–Adriatico,1976 Tirreno–Adriatico
Royal Rumble,Elimination Chamber (2019)
