Subject,Object
Sherbrooke,Gilbert Hyatt
UNIT Factory,Vasyl Khmelnytsky
Fedotov Test Pilot School,Mikhail Mikhaylovich Gromov
Adventure Line Productions,Jacques Antoine
The New York Times,George Jones
The New York Times,Henry Jarvis Raymond
Volkhov Front,Kirill Meretskov
United States Environmental Protection Agency,Richard Nixon
United States Environmental Protection Agency,Richard Nixon
Tůně u Špačků,Ministry of Culture
Lévis,Joseph-David Déziel
Doubravská hora,Ústí nad Labem Region
Říp Mountain,Ústí nad Labem Region
Doubravská hora,Ústí nad Labem Region
1st Ukrainian Front,Nikolai Vatutin
Bryansk Front,Stavka
Transbaikal Front,Stavka
North Caucasian Front,Stavka
Sainte-Thérèse,Louis Marteau
Bund für Umwelt und Naturschutz Deutschland,Bernhard Grzimek
Bund für Umwelt und Naturschutz Deutschland,Bernhard Grzimek
Boeing,William Boeing
Boeing,William Boeing
Arutz Sheva,Zalman Baruch Melamed
Northrop Grumman,Leroy Grumman
Northrop Grumman,Leroy Grumman
Quebec City,Samuel de Champlain
Fightmag,Stephane Cabrera
Rouyn-Noranda,Edmond Henry Horne
Carnival Films,Brian Eastman
Longueuil,Charles le Moyne de Longueuil et de Châteauguay
Escola de Mitjans Audiovisuals de Barcelona,Josep Serra i Estruch
2nd Ukrainian Front,Ivan Konev
Rimouski,René Lepage de Sainte-Claire
Studio Bagel,Lorenzo Benedetti
Montreal,"Paul de Chomedey, Sieur de Maisonneuve"
Montreal,Jeanne Mance
Carpentries,Greg Wilson
