Subject,Object
Eternals,Marvel universe
Cable,Marvel universe
Russian,Marvel universe
Solrock,Pokémon universe
Gallade,Pokémon universe
Wynaut,Pokémon universe
Smoochum,Pokémon universe
Starmie,Pokémon universe
Metang,Pokémon universe
Bronzong,Pokémon universe
Azelf,Pokémon universe
Slowpoke,Pokémon universe
Probopass,Pokémon universe
Magnezone,Pokémon universe
Magnemite,Pokémon universe
Bisharp,Pokémon universe
Durant,Pokémon universe
Escavalier,Pokémon universe
Judicator Caste,StarCraft universe
Sigma Draconis VI,Star Trek multiverse
Terra Nova,Star Trek multiverse
Capella IV,Star Trek multiverse
Rigel Ⅹ,Star Trek multiverse
Deneva,Star Trek multiverse
Axanar,Star Trek multiverse
Argelius II,Star Trek multiverse
Sigma Draconis VI,Star Trek multiverse
Axanar,Star Trek multiverse
Trigon,DC Universe
Ares,DC Universe
Trigon,DC Universe
Madame Rouge,DC Universe
Superman,DC Universe
Wonder Woman,DC Universe
Superman,DC Universe
Wonder Woman,DC Universe
Superman,DC Universe
Steppenwolf,DC Universe
Kanto,DC Universe
Glorious Godfrey,DC Universe
Doctor Bedlam,DC Universe
Devilance,DC Universe
Virman Vundabar,DC Universe
Kalibak,DC Universe
Granny Goodness,DC Universe
Cyborg,DC Universe
Cyborg,DC Universe
Professor Hamilton,DC Universe
Rodney,Teenage Mutant Ninja Turtles universe
Clyde,Teenage Mutant Ninja Turtles universe
Monroe Flem,Teenage Mutant Ninja Turtles universe
Butch O'Really,Teenage Mutant Ninja Turtles universe
Seymour Gutz,Teenage Mutant Ninja Turtles universe
