Subject,Object
Uno,single-player video game
World Series of Poker: Full House Pro,single-player video game
Uno,single-player video game
Marvel Trading Card Game,single-player video game
V.I.P. Casino: Blackjack,single-player video game
Solitaire,single-player video game
Texas Hold'em King,single-player video game
Spectromancer,single-player video game
64 Trump Collection: Alice no Waku Waku Trump World,single-player video game
Rise of the Triad,multiplayer video game
Leisure Suit Larry: Reloaded,single-player video game
Rise of the Triad,single-player video game
Worms: Ultimate Mayhem,multiplayer video game
The Binding of Isaac: Rebirth,multiplayer video game
Dead Island: Definitive Edition,multiplayer video game
Painkiller: Hell & Damnation,multiplayer video game
The Binding of Isaac: Rebirth,cooperative gameplay
Dead Island: Definitive Edition,cooperative gameplay
Postal Redux,single-player video game
Worms: Ultimate Mayhem,single-player video game
The Binding of Isaac: Rebirth,single-player video game
Dead Island: Definitive Edition,single-player video game
Resident Evil 2,single-player video game
Freeciv,multiplayer video game
Warzone 2100,multiplayer video game
Hedgewars,multiplayer video game
Tremulous,multiplayer video game
BZFlag,multiplayer video game
OpenTTD,multiplayer video game
Frozen Bubble,multiplayer video game
Freeciv,multiplayer video game
Minetest Game,multiplayer video game
Freeciv,cooperative gameplay
