Subject,Object
protactinium-234,6.7
bismuth-195,183.0
protactinium-224,0.85
bismuth-201,103.0
protactinium-232,1.32
palladium-122,175.0
actinium-218,1.08
palladium-116,11.8
lead-180,4.2
osmium-183,13.0
potassium-43,22.3
palladium-119,0.92
francium-221,286.1
bismuth-203,11.76
palladium-91,1.0
praseodymium-133,6.5
osmium-179,6.5
palladium-123,174.0
osmium-177,3.0
protactinium-230,17.4
palladium-109,13.7012
cerium-125,9.7
palladium-126,230.0
palladium-125,230.0
astatine-220,3.71
actinium-217,69.0
astatine-221,2.3
cerium-137,9.0
praseodymium-129,30.0
palladium-118,1.9
francium-224,3.33
praseodymium-131,1.51
actinium-215,0.17
protactinium-226,1.8
lead-181,36.0
palladium-115,25.0
potassium-34,25.0
francium-222,14.2
lead-183,535.0
cerium-142,5e+16
palladium-121,285.0
radon-210,2.4
lead-198,2.4
antimony-122,2.7238
palladium-117,4.3
osmium-184,56000000000000.0
palladium-128,394.0
lead-199,90.0
actinium-216,440.0
potassium-38,7.636
praseodymium-144,17.28
bismuth-196,308.0
protactinium-223,5.1
astatine-216,0.3
protactinium-225,1.7
osmium-178,5.0
protactinium-229,1.5
astatine-218,1.5
potassium-42,12.321
protactinium-233,26.975
potassium-40,1248000000.0
potassium-44,22.13
astatine-217,32.3
francium-225,3.95
osmium-181,105.0
potassium-46,105.0
potassium-45,17.81
protactinium-231,32760.0
astatine-223,50.0
protactinium-222,2.9
palladium-107,6500000.0
astatine-222,54.0
potassium-35,178.0
potassium-36,342.0
potassium-36,342.0
bismuth-202,1.71
osmium-185,93.6
palladium-92,0.7
antimony-118,3.6
protactinium-227,38.3
radon-213,19.5
antimony-110,23.0
radon-211,14.6
lead-196,37.0
francium-226,49.0
lead-197,8.1
bismuth-197,9.33
lead-201,9.33
palladium-114,2.42
potassium-37,1.226
francium-231,17.6
palladium-120,0.5
astatine-219,56.0
protactinium-228,22.4
