Subject,Object
Armenian Catholic Archeparchy of Aleppo,parish
Comarcal Council of Baix Camp,comarcal councillor of Baix Camp
Památné douglasky u Zátiší,tree
Skupina stromů u tvrze,tree
Památné jasany u Trnavy,tree
Skupina šesti dubů,tree
Group of three oaks,tree
4 oaks in Bažantnice,tree
Comarcal Council of Ribera d'Ebre,comarcal councillor of Ribera d'Ebre
Chaldean Catholic Archeparchy of Mosul,priest
Chaldean Catholic Archeparchy of Kirkuk,priest
Chaldean Catholic Archeparchy of Bagdad,priest
Naldöken railway station,side platform
Menemen railway station,side platform
Mavişehir railway station,side platform
Koşu railway station,side platform
Hatundere railway station,side platform
Veja Mate Offshore Wind Farm,offshore wind turbine
Anholt Offshore Wind Farm,offshore wind turbine
London Array,offshore wind turbine
Greater Gabbard wind farm,offshore wind turbine
Nordsee Ost offshore wind farm,offshore wind turbine
Comarcal Council of Baix Penedès,comarcal councillor of Baix Penedès
