Subject,Object
Uzbekistan,Abdulla Nigmatovich Aripov
Uzbekistan,Abdulla Nigmatovich Aripov
Emden,Bernd Bornemann
Karlovy Vary,Andrea Pfeffer Ferklová
Mladá Boleslav,Raduan Nwelati
Subprefecture of  Capela do Socorro,João Batista de Santiago
Czech Republic,Andrej Babiš
Slovakia,Peter Pellegrini
Slovakia,Peter Pellegrini
Uherské Hradiště,Stanislav Blaha
Central African Republic,Firmin Ngrébada
Subprefecture of  Campo Limpo,Claudete Pereira Da Silva
Chad,Albert Pahimi Padacké
Chad,Albert Pahimi Padacké
Trentino-South Tyrol,Ugo Rossi
Emmendingen,Hanno Hurth
1st arrondissement of Paris,Jean-François Legaret
Subprefecture of  M'Boi Mirim,Rita de Cassia Correa Madureira
Žďár nad Sázavou,Martin Mrkos
Zambia,Edgar Lungu
Ethiopia,Abiy Ahmed
Ostend,Johan Vande Lanotte
Subprefecture of  Penha,Thiago Della Volpi
Subprefecture of  Jabaquara,Maria de Fátima Marques Fernandes
Jablonec nad Nisou,Jiří Čeřovský
Kazakhstan,Askar Mamin
Plzeň,Martin Zrzavecký
6th arrondissement of Paris,Jean-Pierre Lecoq
Blansko,Jiří Crha
Subprefecture of  Parelheiros,Adailson de Oliveira
Friuli–Venezia Giulia,Massimiliano Fedriga
Subprefecture of  Ermelino Matarazzo,Arhtur Xavier
5th arrondissement of Paris,Florence Berthout
Olomouc,Antonín Staněk
Waldshut,Martin Kistler
Ostrava,Tomáš Macura
3rd arrondissement of Paris,Pierre Aidenbaum
3rd arrondissement of Paris,Pierre Aidenbaum
Liguria,Giovanni Toti
Subprefecture of  Cidade Ademar,Júlio César Carreiro
Breisgau-Hochschwarzwald,Dorothea Störr-Ritter
10th arrondissement of Paris,Alexandra Cordebard
Austria,Sebastian Kurz
Lörrach,Marion Dammann
Marseille,Jean-Claude Gaudin
Třebíč,Pavel Pacal
Konstanz,Frank Hämmerle
Mongolia,Khurelsukh Ukhnaa
4th arrondissement of Paris,Christophe Girard
4th arrondissement of Paris,Christophe Girard
4th arrondissement of Paris,Christophe Girard
Bolivia,Evo Morales
Náchod,Jan Birke
Prachatice,Martin Malý
Molise,Donato Toma
