Subject,Object
Institut universitaire de technologie de Lannion,Lannion
Toulouse Business School,Paris
Adventure Line Productions,Paris
Balmain,Paris
Patou,Paris
Christian Dior S.A.,Paris
French Football Federation,Paris
Raw Fury,Stockholm
Left-Green Movement,Reykjavík
"Ministry of Education, Science and Culture",Reykjavík
Perth Glory FC W-League,Perth
Cinémathèque Française,parc de Bercy
Scotland Run Golf Club,New Jersey
Miami Valley Golf Club,Ohio
Ohio State University Golf Club,Ohio
Chaldean Catholic Archeparchy of Kirkuk,Kirkuk
Comisión Nacional de los Mercados y la Competencia,Palacio Fontagud
Legislative Chamber of Federal District,Democracy Palace
Panionios B.C.,South Athens Regional Unit
Cinémathèque suisse,Lausanne
Vaal de Grace Golf Estate,Free State
Institute of Paleobiology,PAS building at Twarda Street in Warsaw
Aris Thessalonikis B.C.,Municipality of Thessaloniki
Communauté de communes de la Haute Ariège,Luzenac
Legislative Assembly of Paraná,19 de Dezembro Palace
Comarcal Council of Priorat,Falset
Vetter Verkehrsbetriebe,Zörbig
Wayne County RESA,Wayne
Okresní archiv Pelhřimov,Pelhřimov
West Virginia University,Morgantown
Communauté de communes de l'Est de la Somme,Ham
Legislative Assembly of Tocantins,Deputy João d'Abreu Palace
Diputación Provincial de Toledo,Edificio de la Diputación de Toledo
KEDGE Business School,Bordeaux
Royal Adelaide Golf Club,Seaton
Earth Party,Lisbon
"Ecologist Party ""The Greens""",Lisbon
Communauté de communes interrégionale Aumale - Blangy-sur-Bresle,Blangy-sur-Bresle
IESEG School of Management,Lille
Skema Business School,Lille
Greens of Serbia,Belgrade
United States Department of Health and Human Services,Hubert H. Humphrey Building
Institut universitaire de technologie de Lorient,Lorient
Papa Gino's,Dedham
Michigan State University,East Lansing
Hyundai Steel Red Angels WFC,Incheon
Valencia Féminas CF,Valencia
EnjoyUp Games,Barcelona
C.S. Veritas,Utrecht
Carnival Films,London
Civil Will-Green Party,Ulaanbaatar
Michael Polanyi Center,Waco
Dravo Corporation,Pittsburgh
Náchod,Náchod
Connecticut Department of Correction,Wethersfield
Institución Príncipe de Viana,Pamplona
Piteå IF,Gothenburg
Dáil Éireann,Leinster House
Ottawa Hunt and Golf Club,Ontario
Toronto Golf Club,Ontario
Ottawa Hunt and Golf Club,Ontario
AEGEE-Tartu,Tartu
Estonian Students' Society,Tartu
Blansko,Blansko
BURA,Santiago
Society for Immunotherapy of Cancer,Milwaukee
Legislative Assembly of Santa Catarina,Barriga Verde Palace
Papa John's Pizza,Louisville
Ministry of Health and Medical Education,Tehran
Comarcal Council of Ribera d'Ebre,Móra d'Ebre
Movement of Ecologists — Citizens' Cooperation,Nicosia
Antwerp International Golf & Country Club Rinkven,Schilde
"MPForce, Inc.",Buenos Aires
The Cannon Group,United States of America
The Cannon Group,United States of America
Atlantic Entertainment Group,United States of America
Artisan Entertainment,United States of America
Tandem Productions,United States of America
Linna Golf Club,Hämeenlinna
Holberton School,San Francisco Bay Area
Yamaha Corporation,Hamamatsu
Jablonec nad Nisou,Jablonec nad Nisou
Brambletye School,East Grinstead
King Chulalongkorn Memorial Hospital,Bangkok
Ministry of Health,Prague
Ministry of Health,Vilnius
Ministry of Health,Rome
Fendi,Rome
Ministry of Education and Science,Vilnius
The Estancia Club,Phoenix
TPC of Louisiana,Louisiana
Uherské Hradiště,Uherské Hradiště
Illinois Department of Corrections,Springfield
Olympiacos,Attica Region
