Subject,Object
Marion County,1844-03-14
Bergnäs Hydroelectric Power Station,1989-01-01
Roman Catholic Diocese of San José del Guaviare,1989-01-01
Ruthin School,1201-01-01
Bayham Old Abbey,1201-01-01
Hailes Abbey,1201-01-01
Alessandra Orofino: It’s our city. Let’s fix it,2014-10-07
Toyama Prefectural Library,1940-11-30
Athens,1806-01-01
Athens,1806-01-01
Těšínská tiskárna,1806-01-01
fountain Muristalden,1785-01-01
Clark County,1845-01-01
Cross of Merit,1923-06-23
iPhone 4S,2011-10-14
iPhone 4S,2011-10-14
iPhone 4S,2011-10-14
attic geometric Neck amphora,-0720-01-01T00:00:00Z
Library of the University of Bologna,1712-01-01
Chinese Journal of Physics,1963-01-01
Lura IL,1963-01-01
Coral Pink Sand Dunes State Park,1963-01-01
Bottle,1963-01-01
Arc gòtic amb inscripció,1400-01-01
Arcs del carrer Major,1400-01-01
Roman Catholic Diocese of Shendam,2007-01-01
Department for Education and Skills,2007-01-01
Ikast-Brande Municipality,2007-01-01
Kerteminde Municipality,2007-01-01
Ringkøbing-Skjern Municipality,2007-01-01
Ikast-Brande Municipality,2007-01-01
Tønder Municipality,2007-01-01
Esbjerg Municipality,2007-01-01
Kerteminde Municipality,2007-01-01
"Ministry of Energy, Utilities, and Climate",2007-01-01
Saint-Octave-de-Métis,1908-04-25
Royal Society Open Science,2014-01-01
Ninh Thuận 2 Nuclear Power Plant,2014-01-01
National Audiovisual Institute,2014-01-01
National Audiovisual Institute,2014-01-01
Rio Open,2014-01-01
Hidalgo County,1852-01-01
Journal of the International AIDS Society,2004-01-01
Journal of the Iranian Chemical Society,2004-01-01
AirBridgeCargo Airlines,2004-01-01
Bouchon,2004-01-01
Yam-Tyosovskoe,2004-01-01
Jewish Children's Museum,2004-01-01
St. Paulus,1893-01-01
Tsu,1889-04-01
Almagrundet lighthouse,1964-01-01
Atlanta,1845-12-29
Darmstadt Government Region,1945-01-01
Darmstadt Government Region,1945-01-01
Kokkola lighthouse,1977-01-01
Sjöstads IF,1977-01-01
Children's Museum of Richmond,1977-01-01
Sheldrick Wildlife Trust,1977-01-01
Casa Pia and College of the Orphans of Saint Joachim,1709-01-01
Bužim Municipality,1991-01-01
Kreševo Municipality,1991-01-01
Ilidža Municipality,1991-01-01
Kreševo Municipality,1991-01-01
University of Évry Val d'Essonne,1991-01-01
Ogba/Egbema/Ndoni,1991-01-01
Akpabuyo,1991-01-01
Schmalkalden University of Applied Sciences,1991-01-01
Hochschule Stralsund,1991-01-01
Green Party of the United States,1991-01-01
Gregory Stock: To upgrade is human,2003-02-02
Don Norman: 3 ways good design makes you happy,2003-02-02
Bill Gross: A solar energy system that tracks the sun,2003-02-02
Natalie MacMaster: Fiddling in reel time,2003-02-02
Perla di Modena,1518-01-01
Yelokhovo Cathedral,1853-01-01
Oren Yakobovich: Hidden cameras that film injustice in the world’s most dangerous places,2014-10-14
TechTV,1998-05-11
Mona Lisa,1503-01-01
Villa Stucki fountain,1886-01-01
San Michele in Bosco railway halt,1938-01-01
Covington,1822-01-01
Teton County,1922-01-01
Teton County,1922-01-01
Teton County,1922-01-01
Teton County,1922-01-01
Teton County,1922-01-01
Teton County,1922-01-01
Eguzon Dam,1922-01-01
Homenagem A Henry Bazin,1922-01-01
Biblioteca di archeologia e storia dell'arte,1922-01-01
CC Lokeren,1982-09-01
Ekonomist,2014-10-01
Church of Santa Giulia,1593-01-01
Heraldic Roundel with Arms of the Canton of Zürich,1593-01-01
University of Provence - Aix-Marseille I,1971-01-01
University of Angers,1971-01-01
European Air Transport,1971-01-01
Washington County,1879-02-20
Blackware Olla,1917-01-01
Carafe Sirènes et Grenouilles,1917-01-01
Post mill Beelitz,1792-01-01
Chienshan Power Plant,2000-11-01
Tyrone Hayes + Penelope Jagessar Chaffer: The toxic baby,2010-12-02
"Arthur Bowes-Smyth, illustrated journal, 1787-1789",1787-01-01
"Arthur Bowes-Smyth, illustrated journal, 1787-1789",1787-01-01
Associazione Calcio Milan,1899-12-16
Associazione Calcio Milan,1899-12-16
Comarcal Council of Baix Camp,1988-03-09
Comarcal Council of Baix Penedès,1988-03-09
Comarcal Council of Priorat,1988-03-09
Comarcal Council of Ribera d'Ebre,1988-03-09
Cesnola krater,-0800-01-01T00:00:00Z
Cesnola krater,-0800-01-01T00:00:00Z
Terre Haute International Airport,1944-01-12
Votive or Civic Badge with a Crowned Figure Kneeling before Christ,1295-01-01
Cumberland County,1748-01-30
Cumberland County,1748-01-30
Duchy of Parma,1545-01-01
Ein Tzurim,1949-01-01
Lake White State Park,1949-01-01
Lake Loramie State Park,1949-01-01
Richardson Lake Migratory Bird Sanctuary,1949-01-01
Scale model of Louléa-MnM 7 MM 66,1949-01-01
Die Trauernde,1949-01-01
CC Sint-Niklaas,1949-01-01
Dormition Cathedral,1158-01-01
Dormition Cathedral,1475-01-01
Pirate Party of Spain,2006-12-06
Sangre de Cristo Wilderness,1993-01-01
Loch Lomond Golf Club,1993-01-01
Qatar Open,1993-01-01
Gerry Weber Open,1993-01-01
Pizza Schmizza,1993-01-01
Deutsche Entomologische Zeitschrift,1857-01-01
Union County,1857-01-01
Union County,1857-01-01
Union County,1857-01-01
Union County,1857-01-01
fountain Nydegghöfli,1857-01-01
Monona,1938-08-29
State of Palestine,1988-11-15
Altoona,1881-01-01
Pierce County,1852-12-22
French National Assembly,1958-12-09
Tarutyns'kyj steppe,2012-04-26
Neck Amphora by Exekias,-0600-01-01T00:00:00Z
Attic black-figure votive plate,-0600-01-01T00:00:00Z
Republican Party,1977-05-20
United States Environmental Protection Agency,1970-12-02
United States Environmental Protection Agency,1970-12-02
Roman Catholic Diocese of Savona-Noli,1986-09-30
Genova Pra railway halt,2006-04-02
Eagle House School,1820-01-01
Brothers,1820-01-01
Leesylvania State Park,1985-01-01
Skellefteå IBK,1985-01-01
Biblioteca nazionale di Cosenza,1985-01-01
Cicerolândia,1985-01-01
Hezbollah,1985-01-01
Hezbollah,1985-01-01
Hezbollah,1985-01-01
Hezbollah,1985-01-01
ASC Pty Ltd,1985-01-01
Barmoor Castle,1801-01-01
