Subject,Object
Boeing,aviation industry
Boeing,Arms industry
Pizza Schmizza,fast food
Sbarro,fast food
Finavia,aviation
Deutsche Gesellschaft für Internationale Zusammenarbeit,aid
Total S.A.,petroleum industry
Northrop Grumman,shipbuilding
Northrop Grumman,electronics
NEC,electronics
Goa Shipyard Limited,shipbuilding
Dravo Corporation,shipbuilding
Columbia River Shipbuilding Company,shipbuilding
ASC Pty Ltd,shipbuilding
Happy Joe's,restaurant
Arutz Sheva,media industry
Realmforge Studios,video game industry
Gaming Minds Studios,video game industry
"Activision Publishing, Inc.",video game industry
id Software,video game industry
BioWare,video game industry
Unilever,food industry
Weleda,pharmaceutical industry
Novartis,pharmaceutical industry
Weleda,pharmaceutical industry
Acornsoft,software industry
The New York Times,publishing
The New York Times,publishing
The Master Trust Bank of Japan,investment bank
Monsanto,agriculture
Papa Gino's,gastronomy
LaRosa's Pizzeria,gastronomy
Papa John's Pizza,gastronomy
Telepizza,gastronomy
Banca Fideuram,Finance
Deutsche Bahn,logistics
Deutsche Bahn,logistics
Deutsche Bahn,logistics
Deutsche Bahn,logistics
Nederlandse Spoorwegen,rail transport
Korail,rail transport
Volkswagen Group,automotive industry
Papa Murphy's,fast food restaurant
Fightmag,journalism
