Subject,Object
Spain at the 2018 FIFA World Cup,Spain at the FIFA World Cup
Fisherman's Bastion,terrace
Bundeswehrkrankenhaus,medical organization
Bundeswehrkrankenhaus,Bundeswehr hospital
Oxelösund lighthouse,sector light
Karlskrona lower light,lighthouse
Oxelösund lighthouse,lighthouse
North Foreland Lighthouse,lighthouse
Hybernská 42,hotel
Lake Van,tourist attraction
Bantolinao Point Lighthouse,lighthouse
Resorts World Las Vegas,casino
JW Marriott Las Vegas,casino
Cathedral of the Archangel,pantheon
Cathedral of the Archangel,tourist attraction
MGM Grand Las Vegas,resort
Tokyo Disney Resort,resort
Vdara,resort
Walt Disney World Resort,resort
Walt Disney World Resort,tourist attraction
Palms Casino Resort,casino
Excalibur Hotel and Casino,casino
Crown Perth,casino
MGM Grand Las Vegas,casino
The Windsor Hotel Toya Resort & Spa,hotel
Claremont Hotel & Spa,hotel
Excalibur Hotel and Casino,hotel
MGM Grand Las Vegas,hotel
Inubōsaki Lighthouse,lighthouse
Butt of Lewis Lighthouse,lighthouse
Leuchtturm Travemünde,lighthouse
Oksøy Lighthouse,lighthouse
Leuchtturm Norderney,tourist attraction
Leuchtturm Norderney,lighthouse
Beach Hotel,resort
Disney's Yacht Club Resort,resort
Disney's Coronado Springs Resort,resort
Disney's Contemporary Resort,resort
Palms Casino Resort,resort
Excalibur Hotel and Casino,resort
Crown Perth,resort
Shanghai Disney Resort,resort
Universal Orlando Resort,resort
Old Faithful,tourist attraction
RB 8,Regionalbahn
RB 7,Regionalbahn
RB 6,Regionalbahn
RB 31,Regionalbahn
RB 18,Regionalbahn
RB 16,Regionalbahn
RB 56,Regionalbahn
RB 61,Regionalbahn
RB 17C,Regionalbahn
RB 17A,Regionalbahn
RB 57,Regionalbahn
RB 13,Regionalbahn
RB 11,Regionalbahn
RB 56,Regionalbahn
RB 11,Regionalbahn
RB 7,Regionalbahn
RB 6,Regionalbahn
RB 31,Regionalbahn
RB 26,Regionalbahn
RB 56,Regionalbahn
RB 113,Regionalbahn
RB 25,Regionalbahn
RB 63,Regionalbahn
RB 12,Regionalbahn
RB 13,Regionalbahn
RB 11,Regionalbahn
RB 52,Regionalbahn
RB 51,Regionalbahn
RB 55,Regionalbahn
Atlantic Entertainment Group,film production company
Société nouvelle de distribution,film production company
New World Pictures,film production company
CBS Films,film production company
IFC Films,film production company
Artisan Entertainment,film production company
Warner Independent Pictures,film production company
Axwell & Ingrosso discography,song
British High Commission Honiara,high commission
British High Commission Freetown,high commission
British High Commission Victoria,high commission
British High Commission Port Moresby,high commission
British High Commission Islamabad,high commission
British Deputy High Commission Karachi,high commission
British High Commission Abuja,high commission
British High Commission Wellington,high commission
British High Commission Windhoek,high commission
British High Commission Maputo,high commission
British High Commission Port Louis,high commission
British High Commission Malta,high commission
[FK2002] 229,compact group of galaxies
VV 699,compact group of galaxies
USGC U468,compact group of galaxies
SDSSCGA 574,compact group of galaxies
RSCG 80,compact group of galaxies
Mahtessian 56,compact group of galaxies
MLCG 1580,compact group of galaxies
MLCG 0619,compact group of galaxies
[FK2002] 6,compact group of galaxies
[T98b] 70,compact group of galaxies
[FK2002] 84,compact group of galaxies
680s,decade
1120s,decade
20s,decade
0s,decade
870s BC,decade
830s BC,decade
S Serpentis,Mira variable
R Pegasi,Mira variable
R Dra,Mira variable
U Herculis,Mira variable
IK Tauri,Mira variable
U Orionis,Mira variable
R Hydrae,Mira variable
R Cassiopeiae,Mira variable
R Hydrae,binary star
R Cassiopeiae,binary star
U Orionis,nova
U Herculis,variable star
IK Tauri,variable star
IRC+10420,variable star
89 Herculis,variable star
Silk Way West Airlines,cargo airline
Mistral Air,cargo airline
ABX Air,cargo airline
LATAM Cargo Chile,cargo airline
EgyptAir Cargo,cargo airline
ABSA Cargo Airline,cargo airline
ASL Airlines Belgium,cargo airline
Qantas Freight,cargo airline
DHL Air UK,cargo airline
European Air Transport,cargo airline
European Air Transport Leipzig,cargo airline
AirBridgeCargo Airlines,cargo airline
actinium-218,isotope of actinium
actinium-217,isotope of actinium
actinium-216,isotope of actinium
actinium-215,isotope of actinium
Sesto ed Uniti,Comune sparso
