Subject,Object
Chinese Wikibooks,Chinese
Chinese Wikinews,Chinese
Chinese Wikivoyage,Chinese
Chinese Wikisource,Chinese
娥,Chinese
Widelands,Interlingua
The Amazon,Russian
My Life,Russian
The Portrait,Russian
The Devil,Russian
Crimean speech of President Putin,Russian
Atalia,Italian
Inuktitut Wikipedia,Inuktitut
Bitola inscription,Old Church Slavonic
Berts ytterligare betraktelser,Swedish
Berts vidare betraktelser,Swedish
Berts första betraktelser,Swedish
Berts dagbok,Swedish
Berts bryderier,Swedish
Berts bravader,Swedish
Berts bokslut,Swedish
Berts bekännelser,Swedish
Berts bekymmer,Swedish
Berts befrielse,Swedish
Bert och ryska invasionen,Swedish
Bert och kalla kriget,Swedish
Bert och friheten,Swedish
Bert och datadejten,Swedish
Bert och beundrarinnorna,Swedish
High Tower,Swedish
Familjen Anderssons sjuka jul,Swedish
Jiménez,Spanish
Ossa,Spanish
Aguirre,Spanish
López,Spanish
Zelaya,Spanish
Zabaleta,Spanish
Tellechea,Spanish
Arteche,Spanish
Lascurain,Spanish
Lacunza,Spanish
de la Cruz,Spanish
de la Rosa,Spanish
de la Vega,Spanish
de la Cueva,Spanish
de las Cuevas,Spanish
de Alencar,Spanish
de la Torre,Spanish
de la Peña,Spanish
de la Puerta,Spanish
Monumentos Arquitectónicos de España,Spanish
The Genesis in Santa Cariba,Spanish
The Battle For Wesnoth,Spanish
Munoz,French
I2P,French
Dictionnaire de la civilisation indienne,French
The Touchstone,English
Ethan Frome,English
The Turn of the Screw,English
The Nigger of the 'Narcissus',English
The Canterville Ghost,English
Strange Case of Dr Jekyll and Mr Hyde,English
The Beast in the Jungle,English
Hercules,English
Messiah,English
Esther,English
Indian Journal of Gastroenterology,English
Chinese Journal of Physics,English
Journal of the Iranian Chemical Society,English
Zoological Science,English
When We Were Young,English
Hallelujah Chorus,English
Embraceable You,English
Theodora,English
Semele,English
Samson,English
Solomon,English
Judas Maccabaeus,English
4TEEN,Japanese
call boy,Japanese
Level 7,Japanese
Mobōhan,Japanese
Three Wise Old Women,English
Cat on the Mat,English
The Graduation of Jake Moon,English
Nursery Rhymes of London Town,English
iGap,English
The Scarlet School Trip,Japanese
Samurai Deeper Kyo,Japanese
Spirit Warrior,Japanese
Aria the Scarlet Ammo,Japanese
Trial Speech of Ken Saro-Wiwa,English
On American Taxation,English
The New York Times,English
Arutz Sheva,English
The New York Times,English
Fightmag,English
Loesser,English
Pomerene,English
Sholes,English
Bailyn,English
Johnson-Laird,English
Tormé,English
Thorneycroft,English
Pennewill,English
Epworth,English
Sigsworth,English
Stanfill,English
Munnings,English
Seton-Watson,English
Greengard,English
McCourt,English
de Lima,Portuguese
McClung,English
McGuire,English
McManus,English
McLaughlin,English
Eurovision Young Musicians 2002,English
Eurovision Young Musicians 1994,English
Eurovision Young Musicians 1998,English
Eurovision Young Musicians 2000,English
Erratum to: Modeling the spread of polio in an IPV-vaccinated population: lessons learned from the 2013 silent outbreak in southern Israel.,English
Erratum to: The GOOD life: Study protocol for a social norms intervention to reduce alcohol and other drug use among Danish adolescents.,English
Corrigendum: Genome-wide association of polycystic ovary syndrome implicates alterations in gonadotropin secretion in European ancestry populations.,English
Erratum to: Conformational changes and translocation of tissue-transglutaminase to the plasma membranes: role in cancer cell migration.,English
Erratum: Layer-dependent quantum cooperation of electron and hole states in the anomalous semimetal WTe2.,English
Corrigendum: LSD1 is essential for oocyte meiotic progression by regulating CDC25B expression in mice.,English
Journal of Clinical Investigation,English
Journal of Physics B,English
Acta Paediatrica,English
Vaccine,English
The American Journal of Medicine,English
Journal of Psychopharmacology,English
Vibrator Nation:  How Feminist Sex-Toy Stores Changed the Business of Pleasure,English
"Disturbing Attachments: Genet, Modern Pederasty, and Queer History",English
The Brain's Body: Neuroscience and Corporeal Politics,English
White Innocence: Paradoxes of Colonialism and Race,English
The Right to Maim,English
Dilemmas of Difference: Indigenous Women and the Limits of Postcolonial Development Policy,English
Kiwaka,Simplified Chinese
Back in Time,Japanese
Kiwaka,Portuguese
Back in Time,Portuguese
Superhero Landing,English
Springer Handbook of Robotics,English
Kiwaka,English
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",English
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,English
RDFShape: An RDF playground based on Shapes,English
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,English
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",English
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,English
T2WML: Table To Wikidata Mapping Language,English
The Bechly Family in North America,English
Inakappe Taishō,Japanese
Tsuide ni Tonchinkan,Japanese
Sprout,Japanese
Dokonjō Gaeru,Japanese
Strike the Blood,Japanese
The Ruler of Time,Japanese
The Ghost of Time,Japanese
The Guardian of Time,Japanese
The Truth of the Karuta Cards,Japanese
Horsehair Crab from Suwa Lake,Japanese
The Boy Who Cried Wolf,Japanese
Fake Feet,Japanese
The Moving Corpse,Japanese
A Terrible Death,Japanese
Communications Code,Japanese
A Dangerous Game of Hide-and-seek,Japanese
A Person in Need of Rescue,Japanese
A Troublesome and Difficult Case,Japanese
NRHP nomination: Brown Street Historic District,English
NRHP nomination: Ivoryton Historic District,English
NRHP nomination: Waverley Country Club Clubhouse,English
NRHP nomination: Oregon Caves Historic District boundary increase,English
NRHP nomination: Oregon Caves Historic District,English
"Cherry Grove, Fire Island: Sixty Years in America’s First Gay and Lesbian Town",English
Bound and Gagged: Pornography and the Politics of Fantasy in America,English
"Love, H: The Letters of Helene Dorn and Hettie Jones",English
Staying with the Trouble: Making Kin in the Chthulucene,English
Melodrama,English
Downwardly Global,English
"House of Slaves and “Door of No Return”: Gold Coast/Ghana Slave Forts, Castles & Dungeons and the Atlantic Slave Trade",English
Rwandan Women Rising,English
Louise Thompson Patterson: A Life of Struggle for Justice,English
Saving the Security State: Exceptional Citizens in Twenty-First-Century America,English
The Revolution Will Not Be Funded,English
"Loneliness and Its Opposite: Sex, Disability, and the Ethics of Engagement",English
Families in War and Peace: Chile from Colony to Nation,English
"Haydée Santamaría, Cuban Revolutionary: She Led by Transgression",English
"Exile and Pride: Disability, Queerness, and Liberation",English
RFC 6592: The Null Packet,English
"RFC 8140: The Arte of ASCII: Or, An True and Accurate Representation of an Menagerie of Thynges Fabulous and Wonderful in Ye Forme of Character",English
RFC 8136: Additional Transition Functionality for IPv6,English
RFC 7168: The Hyper Text Coffee Pot Control Protocol for Tea Efflux Appliances,English
RFC 4042: UTF-9 and UTF-18 Efficient Transformation Formats of Unicode,English
2048,English
Ion Mobility Spectrometry,English
Essential Evidence-Based Medicine,English
Financial Modeling,English
Botulinum Toxin,English
Printed Paper Astrolabe,English
House Party,English
Misstepping of Virtue,Japanese
RFC 1926: An Experimental Encapsulation of IP Datagrams on Top of ATM,English
RFC 2100: The Naming of Hosts,English
RFC 1925: The Twelve Networking Truths,English
RFC 5841: TCP Option to Denote Packet Mood,English
RFC 1437: The Extension of MIME Content-Types to a New Medium,English
RFC 1313: Today's Programming for KRFC AM 1313 Internet Talk Radio,English
