Subject,Object
Oliver Twist,"But, if the spirits of the Dead ever come back to earth, to visit spots hallowed by the love—the love beyond the grave—of those whom they knew in life, I believe that the shade of Agnes sometimes hovers round that solemn nook. I believe it none the less because that nook is in a Church, and she was weak and erring."
Oliver Twist,"But, if the spirits of the Dead ever come back to earth, to visit spots hallowed by the love—the love beyond the grave—of those whom they knew in life, I believe that the shade of Agnes sometimes hovers round that solemn nook. I believe it none the less because that nook is in a Church, and she was weak and erring."
Oliver Twist,"But, if the spirits of the Dead ever come back to earth, to visit spots hallowed by the love—the love beyond the grave—of those whom they knew in life, I believe that the shade of Agnes sometimes hovers round that solemn nook. I believe it none the less because that nook is in a Church, and she was weak and erring."
Oliver Twist,"But, if the spirits of the Dead ever come back to earth, to visit spots hallowed by the love—the love beyond the grave—of those whom they knew in life, I believe that the shade of Agnes sometimes hovers round that solemn nook. I believe it none the less because that nook is in a Church, and she was weak and erring."
Sonnet 40,Kill me with spites yet we must not be foes.
Sonnet 67,"In days long since, before these last so bad."
Sonnet 143,If thou turn back and my loud crying still.
Sonnet 69,"The soil is this, that thou dost common grow."
Sonnet 128,"Give them thy fingers, me thy lips to kiss."
Sonnet 85,"Me for my dumb thoughts, speaking in effect."
Wuthering Heights,"I lingered round them, under that benign sky: watched the moths fluttering among the heath and harebells, listened to the soft wind breathing through the grass, and wondered how any one could ever imagine unquiet slumbers for the sleepers in that quiet earth."
Wuthering Heights,"I lingered round them, under that benign sky: watched the moths fluttering among the heath and harebells, listened to the soft wind breathing through the grass, and wondered how any one could ever imagine unquiet slumbers for the sleepers in that quiet earth."
Sonnet 152,To swear against the truth so foul a be.
Sonnet 60,"Praising thy worth, despite his cruel hand."
Sonnet 27,"For thee, and for my self, no quiet find."
Sonnet 37,"This wish I have, then ten times happy me."
Sonnet 80,"The worst was this, my love was my decay."
Sonnet 12,"Save breed to brave him, when he takes thee hence."
Sense and Sensibility,"and among the merits and the happiness of Elinor and Marianne, let it not be ranked as the least considerable, that though sisters, and living almost within sight of each other, they could live without disagreement between themselves, or producing coolness between their husbands."
Sonnet 31,And thou (all they) hast all the all of me.
