Subject,Object
G&L Musical Instruments,privately held company
Chesbro Music Company,privately held company
Lidové divadlo,spolek
Lille University of Health and Law,"public scientific, cultural or professional establishment"
Paris-Sorbonne University - Paris IV,"public scientific, cultural or professional establishment"
University of Paris VI: Pierre-and-Marie-Curie University,"public scientific, cultural or professional establishment"
Charles de Gaulle University of humanities arts and social sciences,"public scientific, cultural or professional establishment"
Lille University of Health and Law,"public scientific, cultural or professional establishment"
University of Bordeaux 1,"public scientific, cultural or professional establishment"
University of Nice Sophia-Antipolis,"public scientific, cultural or professional establishment"
SPARC Europe,stichting
Balmain,société anonyme
Patou,Société par actions simplifiée
Svenska Jägareförbundet,nonprofit organization
The Master Trust Bank of Japan,kabushiki gaisha
MUFG Bank,kabushiki gaisha
Center for Inquiry,501(c)(3) organization
Freedom From Religion Foundation,501(c)(3) organization
American Humanist Association,501(c)(3) organization
Boeing,public company
Northrop Grumman,public company
Boeing,public company
Northrop Grumman,public company
Citibank,public company
AEGEE-Tartu,non-profit association
AEGEE-Tallinn,non-profit association
Estonian Students' Society,non-profit association
Association of the Scientific Medical Societies in Germany,registered association
Arbeitsgemeinschaft Literarischer Gesellschaften und Gedenkstätten,registered association
German Mathematical Society,registered association
Naturschutzbund Deutschland,registered association
Deutscher Sparkassen- und Giroverband e.V.,registered association
Gesellschaft Deutscher Chemiker,registered association
ADAC,registered association
DEHOGA,registered association
German Immunology Society,registered association
German Society for Plant Sciences,registered association
German Federation of the Deaf,registered association
Deutsche Krebsgesellschaft,registered association
LSVD,registered association
Deutsche AIDS-Hilfe e.V.,registered association
Bundesverband Deutscher Gartenfreunde,registered association
Deutsches Institut für Menschenrechte,registered association
Deutscher Bibliotheksverband,registered association
Allgemeiner Deutscher Fahrrad-Club,registered association
Zentralverband des Deutschen Baugewerbes,registered association
Berufsverband Information Bibliothek e. V.,registered association
Deutscher Bibliotheksverband,registered association
Deutsche Krebsgesellschaft,registered association
Bundesarbeitsgemeinschaft Kinder- und Jugendschutz,registered association
Magnit,open joint-stock company
Santander Brasil,sociedade anónima
Arbeiterwohlfahrt,association under the French law of 1901
Archives LGBTQI,association under the French law of 1901
Comede,association under the French law of 1901
Conscience et Impact Écologique,association under the French law of 1901
Association pour la recherche et l'archivage de la mémoire arménienne,association under the French law of 1901
Komerční banka,akciová společnost
Itaú Unibanco,S.A.
The Weinstein Company,limited liability company
Illumination,limited liability company
Banca Fideuram,S.p.A.
Frankfurter Volksbank,Eingetragene Genossenschaft
Deutsche Apotheker- und Ärztebank,Eingetragene Genossenschaft
Sparda-Bank Südwest,Eingetragene Genossenschaft
Sparda-Bank Baden-Württemberg,Eingetragene Genossenschaft
Sparda-Bank West,Eingetragene Genossenschaft
Evangelical Lutheran Church of Mecklenburg,Körperschaft des öffentlichen Rechts
Evangelical Lutheran Church in Brunswick,Körperschaft des öffentlichen Rechts
Pomeranian Evangelical Church,Körperschaft des öffentlichen Rechts
Evangelical Lutheran Church in Northern Germany,Körperschaft des öffentlichen Rechts
Kirchenbezirk Öhringen,Körperschaft des öffentlichen Rechts
Kirchenbezirk Weinsberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Vaihingen an der Enz,Körperschaft des öffentlichen Rechts
Kirchenbezirk Weikersheim,Körperschaft des öffentlichen Rechts
Kirchenbezirk Tuttlingen,Körperschaft des öffentlichen Rechts
Kirchenbezirk Tübingen,Körperschaft des öffentlichen Rechts
Kirchenbezirk Böblingen,Körperschaft des öffentlichen Rechts
Kirchenbezirk Brackenheim,Körperschaft des öffentlichen Rechts
Kirchenbezirk Bernhausen,Körperschaft des öffentlichen Rechts
Sabian,joint-stock company
Yamaha Corporation,joint-stock company
Fendi,joint-stock company
Christian Dior S.A.,joint-stock company
Gazprombank,joint-stock company
Popular Bank of Milan,joint-stock company
Tesco,public limited company
N M Rothschild & Sons,public limited company
SEB Pank,public limited company
New Line Cinema,subsidiary
Pixar,subsidiary
C.S. Veritas,voluntary association
Målilla-Gårdveda hembygdsförening,voluntary association
Sankt Anna hembygdsförening,voluntary association
Grödinge heritage association,voluntary association
Frosta Härad heritage association,voluntary association
India Open Data Association,voluntary association
India Open Data Association,voluntary association
Les lesbiennes dépassent les frontières,voluntary association
Arcade Vintage,voluntary association
Association Française de Catalanistes,voluntary association
Hungarian Beekeepers Federation,voluntary association
