Subject,Object
Wicklow Mountains,County Dublin
Pegasus Bridge,Bénouville
Building 18110-1,Acre Subdistrict
Building 18011-122,Acre Subdistrict
Building 18011-20,Acre Subdistrict
Building 18110-1,Acre Subdistrict
Building 18010-18,Acre Subdistrict
Khan al-Shuna,Acre Subdistrict
Building 18010-91,Acre Subdistrict
Building 18011-85,Acre Subdistrict
Khan al-Shuna,Acre Subdistrict
Building 18010-91,Acre Subdistrict
Building 18011-85,Acre Subdistrict
Building 18011-20,Acre Subdistrict
Khan al-Shuna,Acre Subdistrict
Building 18010-91,Acre Subdistrict
Cala Figuera,Pollença
"Bury Castle Camp, Brompton Regis",Somerset
Groeve Moonen,Voerendaal
Groeve Midweg,Voerendaal
Dovecote to east of Cefn Henllan Farmhouse,Llanhennock
Rose Atoll Marine National Monument,American Samoa
British High Commission Malta,Malta
Little Miami Scenic Trail,Ohio
Lake White State Park,Ohio
Lake Loramie State Park,Ohio
Gnadenhutten massacre,Ohio
St Bartholomew's Church,Norwich
St Bartholomew's Church,Norwich
Ansitz Herzoghof Krems,Krems an der Donau
Marianas Trench Marine National Monument,Guam
Sainte-Sabine,Les Etchemins Regional County Municipality
Freyung,Freyung
Bandial,Enampore
Covered Bridge,"Cedarburg (town), Wisconsin"
Bastion V,Dendermonde
Miss Maine's Outstanding Teen,Auburn
Rutland,Rutland County
Sucre,Libertador
Carnival of Alhama de Granada,Granada Province
Borj Es-Salam,Tangier
Eshbal,Misgav Regional Council
Lotem,Misgav Regional Council
Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,Province of Palermo
Straßenanschnitt Königsstuhl bei Bad Berneck,Bad Berneck im Fichtelgebirge
Straßenanschnitt Königsstuhl bei Bad Berneck,Bad Berneck im Fichtelgebirge
Mjoöfjärden coastal water body,Piteå Municipality
Mjoöfjärden coastal water body,Piteå Municipality
Wellington Square Townhouses,Sault Ste. Marie
Manyoni District,Singida Region
Xavier College,City of Boroondara
Tomasgårdens IF,Västerås
Beaumont Children's Museum,Beaumont
Himeji,Hyōgo Prefecture
Himeji Kamotsu Station,Himeji
Wierickerschans,Bodegraven-Reeuwijk
Kanta-Tapanila,Janakkala
Aliante Casino and Hotel,North Las Vegas
Yongxing,Yongren County
Baie de l'Isle-Verte National Wildlife Area,L'Isle-Verte
British High Commission Honiara,Honiara
Trinity Meadows Race Track,Texas
Dallas–Fort Worth metroplex,Texas
Dallas–Fort Worth metroplex,Texas
Gary Air Force Base,Texas
Children's Museum of Houston,Texas
Texarkana metropolitan area,Texas
Schwarzes Venn,Heiden
Maswa District,Simiyu Region
Kaposvár,Kaposvár District
Chiahui Power Plant,Minxiong
Mookerschans,Mook en Middelaar
Doubravská hora,Teplice
Doubravská hora,Teplice
Novo-Peredelkino District,Western Administrative Okrug
Pigsty About 10 Metres East Of The Stable About 50 Metres West Of Bodinnick Farmhouse,St Stephen-in-Brannel
Agostyán,Tata
Vikingskipet,Hamar Municipality
Korso railway station,Vantaa
The Asian Reporter,Portland
Morrison Bridge,Portland
Pass Christian,Harrison County
Ryongrim County,Chagang Province
Hwapyong County,Chagang Province
Sijung County,Chagang Province
Songwon County,Chagang Province
Songgan County,Chagang Province
Wiwon County,Chagang Province
Kopung County,Chagang Province
Usi County,Chagang Province
Cooper Township,Kalamazoo County
Cottbus-Drewitz Airport,Jänschwalde
Lindi Urban,Lindi Region
Gdyel District,Oran Province
Boutlélis District,Oran Province
Petrus Canisius church,Ferencváros
Ghōr,Afghanistan
Laghman,Afghanistan
Maidan Wardak,Afghanistan
Jowzjan,Afghanistan
Kläper-Filz,Steingaden
Murchison Falls,Uganda
Wall of Češov,Češov
Malaysian Open,Kuala Lumpur
BCF Arena,Canton of Fribourg
Ängesbyn Skaulo,Luleå Municipality
Pigsty Approximately 10 Metres To East Of Middlewood Farmhouse,High Bickington
Liangshuihe Mongol Ethnic Township,Beipiao
Tilbury Fort,Tilbury
Yatsukai-shō,Japan
Ashi-se,Japan
Rájovský javor,Mnichov
Punta Arenas,Punta Arenas
