Subject,Object
HMCS Provider,"Lauzon, Quebec"
HMCS Provider,"Lauzon, Quebec"
Printed Paper Astrolabe,England
Anna Maria,Derwenlas
Salathiel,Derwenlas
Bristol Trader,Derwenlas
Faithful Mother,Derwenlas
Dovey Belle,Aberdyfi
Acorn,Aberdyfi
Dovey Belle,Aberdyfi
Acorn,Aberdyfi
Atalanta,Aberarth
HMCS Protecteur,Saint John
Hispano-Moorish Astrolabe,Spain
Hispano-Moorish Astrolabe,Spain
Hispano-Moorish Astrolabe,Spain
Pacific,New Quay
Pacific,New Quay
Antelope,New Quay
Antelope,New Quay
Heart of Oak,New Quay
USS Kansas City,Quincy
MARY & ELLEN,Pont Aber Leri Shipyard
Major Nanney,Pwllheli
Grooms and Horses,China
Emperor Xuanzong's Flight to Shu,China
Finches and bamboo,China
Frolicking Figures and Animals,Japan
The Hedges Vishnu,Sagar Island
Brothers,Morfa Uchaf
Astrolabe and Astrological Volvelle,Italy
Standing figure of Parvati,Tamil Nadu
Astrolabe,Persia
Astrolabe,Persia
Astrolabe,Persia
Astrolabe,Persia
Astrolabe,Persia
Astrolabe,Persia
Astrolabe,Persia
Mourner-CA 295,Tanagra
Albatross,Aberaeron
Albatross,Aberaeron
Fairy,Sussex
Amity,Aberystwyth
John & Ann,Aberystwyth
"Figure of Varaha, the Boar incarnation of Vishnu",Madhya Pradesh
Prima Donna,Llansantffraid
Prima Donna,Llansantffraid
Bee,Llansantffraid
Bee,Milford Haven
New Diligence,Llansantffraid
