Subject,Object
Superbird-B3,5348.0
3-hydroxyicosanoyl-CoA,1077.402
3-hydroxyicosanoyl-CoA,1077.402
3-hydroxytetracosanoyl-CoA,1133.465
3-hydroxytetracosanoyl-CoA,1133.465
palladium-119,118.923340459
Soyuz 20,6570.0
gadolinium-154,153.920873398
Rohini Satellite RS-1,35.0
propranolol,259.157229
silver-111,110.905296816
Kosmos 238,6520.0
Soyuz 22,6510.0
lead-187,186.983910836
Kosmos 213,6530.0
lead-188,187.980874592
potassium-34,33.99869
Wynaut,14.0
aspirin,180.042
aspirin,180.042
aspirin,180.042
cidofovir,279.062
californium-241,241.06369
potassium-43,42.960734703
potassium-42,41.962402306
cerium-127,126.922727
3-oxodocosanoyl-CoA,1103.418
3-oxodocosanoyl-CoA,1103.418
iPhone 5C,132.0
palladium-125,124.9419
3-hydroxydocosanoyl-CoA,1105.434
3-hydroxydocosanoyl-CoA,1105.434
Tatra T7B5,20000.0
palladium-120,119.924551258
oleic monoethanolamide,325.298079
1-decanol,158.167
silver-123,122.925337062
californium-239,239.062554
"(E)-2,3-didehydropristanoyl-CoA",1045.376175
"(E)-2,3-didehydropristanoyl-CoA",1045.376175
rubidium-102,101.95952
lead-181,180.996653386
bismuth-196,195.980666509
Thomas Playford,117.0
gadolinium-134,133.95566
Durant,33.0
Escavalier,33.0
HYLAS-4,4050.0
lead-182,181.99267294
lead-182,181.99267294
IRNSS-1I,1425.0
Solrock,154.0
palladium-118,117.919066847
rubidium-95,94.929262568
palladium-114,113.91036878
Kalpana-1,1060.0
Hiten,197.4
potassium-35,34.988005407
gadolinium-168,167.94808
cocaine,303.147
cocaine,303.147
cocaine,303.147
cocaine,303.147
acetone,58.042
acetone,58.042
INSAT-1C,1190.0
californium-242,242.063754533
Dawn,747.1
bismuth-195,194.980648762
bismuth-203,202.976892145
palladium-123,122.935126
lead-191,190.978281
Smoochum,6.0
Magnemite,6.0
Tatra T2,18100.0
Soyuz TM-3,7100.0
Soyuz TM-2,7100.0
potassium-46,45.961981586
palladium-107,106.905128064
bismuth-197,196.978864929
gadolinium-156,155.922130562
ondansetron,293.152812
ondansetron,293.152812
lead-190,189.978081828
iPhone 4,137.0
HD 109749 b,0.28
butan-1-ol,74.073
palladium-128,127.952238
gadolinium-135,134.952345
cerium-131,130.914429465
palladium-116,115.91429721
rubidium-96,95.934133393
cerium-128,127.918911
silver-114,113.908823031
rubidium-101,100.954004
palladium-122,121.930631694
cerium-132,131.911463846
rubidium-103,102.96392
palladium-117,116.917954944
Bronzong,187.0
gadolinium-159,158.926396267
silver-129,128.944197
gadolinium-161,160.929676602
rubidium-97,96.937177118
propyl alcohol,60.058
Tatra KT4,20300.0
