Subject,Object
Astrolabe: Stellar Compass,aluminum
Homenagem Ao Comendador Antonio Devoto,silver
Altarpiece of Santos-o-Novo,oil paint
Portraits of Juan II Pardo and his Wives Anna Ingenieulandt and Maria Ancheman,oil paint
Fête de la Fédération au Champ de Mars. 14 juillet 1790,oil paint
Portrait of Madame Récamier,oil paint
The Virgin and Child with Saint Andrew and Saint Peter,oil paint
Unfinished Portrait of General Bonaparte,oil paint
The Virgin and Child with Saint Andrew and Saint Peter,oil paint
Unfinished Portrait of General Bonaparte,oil paint
Portrait of Madame Récamier,oil paint
The Virgin and Child with Saint Andrew and Saint Peter,oil paint
The Virgin and Child with Saint Andrew and Saint Peter,oil paint
Ghent Altarpiece,oil paint
Seven Sorrows Polyptych,oil paint
Ghent Altarpiece,oil paint
Seven Sorrows Polyptych,oil paint
The Angelus,oil paint
The Milkmaid,oil paint
St. Francis in the Desert,oil paint
The Daughters of Catulle Mendès,oil paint
Portinari Altarpiece,oil paint
Venus of Urbino,oil paint
St John the Baptist and Veronica Diptych,oil paint
Diptych of Munich,oil paint
St John the Baptist and Veronica Diptych,oil paint
Diptych of Munich,oil paint
Oksøy Lighthouse,cast iron
drinking fountain Helvetiaplatz,cast iron
Karawanks,sedimentary rock
The Tennis Court Oath,canvas
The Tennis Court Oath,canvas
Fukurokuju,washi
Greater Khingan,igneous rock
February - pruning trees; Pisces,parchment
The raising of souls to Heaven,parchment
Arms of the Harrington family,parchment
Arms of the Woodville family,parchment
Arms of Ailmer de Valence,parchment
The Last Judgment,parchment
Arms of the Hastings family,parchment
De Grey Hours folio 13r,parchment
Arms of De Grey of Ruthin,parchment
December- slaughtering a pig; Capricorn,parchment
Arms of the Astley family,parchment
"Arms of De Quincy, Earls of Winchester",parchment
November- knocking down acorns for swine; Sagittarius,parchment
Christ flanked by two thieves,parchment
water play on the Bundesplatz,gneiss
"Boulder, Bärletwald",gneiss
"Boulder, Mahlewagwald II",gneiss
"Boulder, Mahlewagwald I",gneiss
"Boulder, Luterhölzli/ located at: Museum Schwab Biel",gneiss
Zeichenstein Balzers,gneiss
Bust of a young girl-RHO.2007.00.1941,marble
Bust of Charles Bonnet-MAH 1825-0027,marble
Bust of Jean-Jacques Rousseau-MAH 1825-0028,marble
"Pont Vell, Santa Eulària des Riu",rock
Séré de Rivières system,cement
M’hamid,seashell
Saint sépulcre de Marienthal,stoneware
