Subject,Object
Gyeongpo Ice Hall,12000
Stadio Olympica,12000
Eisstadion Biel,7000
MS Kungsholm,700
SS Andrea Doria,1241
KV Arena,6000
MS St. Louis,937
Olympia Eishalle,6136
Zimní stadion Hradec Králové,7700
SS Guglielmo Marconi,1750
RMS Transvaal Castle,728
Budvar Arena,6421
Ostrava Aréna,12500
RMS Saxonia,929
SS Nieuw Amsterdam,1220
Queen Elizabeth 2,1900
RMS Queen Mary,2280
Bornova Ice Sports Hall,1751
MS Renaissance,416
MS Mikhail Lermontov,750
MS Marco Polo,826
Volksbank Arena,300
MS Achille Lauro,300
