Subject,Object
Google,World Wide Web Consortium
Microsoft,World Wide Web Consortium
NEC,World Wide Web Consortium
Naturschutzbund Deutschland,BirdLife International
Statnett,European Network of Transmission System Operators for Electricity
Evangelical Lutheran Church in Northern Germany,United Evangelical Lutheran Church of Germany
Institute of Botany of the Czech Academy of Sciences,Consortium of European Taxonomic Facilities
Institute of Botany of the Czech Academy of Sciences,Consortium of European Taxonomic Facilities
DB Busverkehr Hessen,Nordhessischer Verkehrsverbund
Stadtwerke Witzenhausen,Nordhessischer Verkehrsverbund
DB Busverkehr Hessen,Nordhessischer Verkehrsverbund
Stadtwerke Witzenhausen,Nordhessischer Verkehrsverbund
Institut technologique européen d'entrepreneuriat et de management,Lille North of France University
Institut technologique européen d'entrepreneuriat et de management,Lille North of France University
Institut de Génie Informatique et Industriel,Lille North of France University
Cinémathèque suisse,Memoriav
Swiss Institute for Art Research,Memoriav
Queen Mary University of London,Russell Group
University of Birmingham,Russell Group
Steppenwolf,Darkseid's Elite
Kanto,Darkseid's Elite
Glorious Godfrey,Darkseid's Elite
Doctor Bedlam,Darkseid's Elite
Devilance,Darkseid's Elite
Virman Vundabar,Darkseid's Elite
Kalibak,Darkseid's Elite
Granny Goodness,Darkseid's Elite
Autonomy Liberty Participation Ecology,European Free Alliance
United Kingdom,G20
United Kingdom,European Union
Arbeitsgemeinschaft Literarischer Gesellschaften und Gedenkstätten,Bundesnetzwerk Bürgerschaftliches Engagement
Allgemeiner Deutscher Fahrrad-Club,Bundesnetzwerk Bürgerschaftliches Engagement
Instituto Antártico Chileno,COMNAP
Instituto Antártico Uruguayo,COMNAP
Colt Technology Services,Verband der Anbieter von Telekommunikations- und Mehrwertdiensten
Waldeck,Holy Roman Empire
Duchy of Saxe-Meiningen,Holy Roman Empire
Hohenzollern-Sigmaringen,Holy Roman Empire
Konstanz,Kommunalverband für Jugend und Soziales Baden-Württemberg
Waldshut,Kommunalverband für Jugend und Soziales Baden-Württemberg
Lörrach,Kommunalverband für Jugend und Soziales Baden-Württemberg
Breisgau-Hochschwarzwald,Kommunalverband für Jugend und Soziales Baden-Württemberg
Emmendingen,Kommunalverband für Jugend und Soziales Baden-Württemberg
Frankfurter Volksbank,Bankcard-Servicenetz
Deutsche Apotheker- und Ärztebank,Bankcard-Servicenetz
Trill,United Federation of Planets
Betazed,United Federation of Planets
Trill,United Federation of Planets
Betazed,United Federation of Planets
Trill,United Federation of Planets
Deneb Ⅳ,United Federation of Planets
Betazed,United Federation of Planets
Pirate Party Luxembourg,Pirate Parties International
Pirate Party,Pirate Parties International
Pirate Party of Greece,Pirate Parties International
Pirate Party of Spain,Pirate Parties International
DEHOGA,Ausstellungs- und Messe-Ausschuss
Tegernsee-Bahn Betriebsgesellschaft,Association of German Transport Companies
Party of Greens of Ukraine,European Green Party
Movement of Ecologists — Citizens' Cooperation,European Green Party
Youth Party – European Greens,European Green Party
Green Party,European Green Party
Greens of Serbia,European Green Party
Ecologist Greens,European Green Party
Latvian Green Party,European Green Party
"Ecologist Party ""The Greens""",European Green Party
Green Party,European Green Party
Italy,G8
Center for Inquiry,Humanists International
Freedom From Religion Foundation,Humanists International
American Humanist Association,Humanists International
Finavia,Civil Air Navigation Services Organisation
Federated States of Micronesia,International Centre for Settlement of Investment Disputes
Maldives,Organisation for the Prohibition of Chemical Weapons
Federated States of Micronesia,Organisation for the Prohibition of Chemical Weapons
Palau,Organisation for the Prohibition of Chemical Weapons
Maldives,International Development Association
Federated States of Micronesia,International Development Association
Palau,International Development Association
Maldives,International Finance Corporation
Federated States of Micronesia,International Finance Corporation
Palau,International Finance Corporation
Maldives,Alliance of Small Island States
Federated States of Micronesia,Alliance of Small Island States
Afghanistan,International Finance Corporation
Thailand,Organisation for the Prohibition of Chemical Weapons
Thailand,International Bank for Reconstruction and Development
German Immunology Society,Deutsches Nationalkomitee Biologie
German Society for Plant Sciences,Deutsches Nationalkomitee Biologie
Friedrich Loeffler Institute,Working Group of the German Federal Departmental Research  Establishments
Realmforge Studios,German Games Industry Association
Gaming Minds Studios,German Games Industry Association
id Software,German Games Industry Association
Deutsche Kinemathek,Kommunaler Arbeitgeberverband Berlin
Deutscher Sparkassen- und Giroverband e.V.,Zentralausschuss der Werbewirtschaft
University of Tübingen,Matariki Network of Universities
Hoffmann-La Roche,German-Swiss Chamber of Commerce
