Subject,Object
Civil Defence Cross of Honour,Nansen medal for Outstanding Research
George Cross,Victoria Cross
King Haakon VII Freedom Cross,Royal Norwegian Order of Merit
War Cross for Military Valour,Award for Civil Valor
Cross of Merit,Cross of Merit with Swords
Military Cross,Military Decoration for gallantry or exceptional devotion
Royal Red Cross,Conspicuous Gallantry Cross
Military Cross,Military Decoration for gallantry or exceptional devotion
Military Cross,Conspicuous Gallantry Cross
Meritorious Service Cross,Star of Courage
