Subject,Object
"Volta Redonda mayoral election, 2016 - first round",42423
"Serra mayoral election, 2016 - second round",69248
"Serra mayoral election, 2016 - second round",69248
"State elections in Acre in 2014 for Governor, second round",112365
"State elections in Acre in 2014 for Governor, second round",112365
"Belford Roxo mayoral election, 2016 - second round",83437
"Belford Roxo mayoral election, 2016 - second round",83437
"State elections in Acre in 2014 for Governor, first round",87748
"State elections in Acre in 2014 for Governor, first round",87748
"Petrópolis mayoral election, 2016 - second round",66275
