Subject,Object
Santhamaguluru mandal,15344
Ribadesella,2697
Villaviciosa,6222
Castropol,1322
Castropol,1322
Banaripara Upazila,34186
Venkatachalam mandal,17133
Veligandla mandal,8231
Lailling,93
Außernbrünst,93
Manpura Upazila,17080
Martur mandal,19317
Haunersdorf,16
Aiglkofen,59
Babuganj Upazila,31663
Patuakhali Sadar Upazila,68813
Freyung,1677
Kurichedu mandal,9632
Janakavarampanguluru mandal,12583
Dornala mandal,10834
Gijón,122519
Mirzaganj Upazila,28205
Patharghata Upazila,43085
Schafweid,2
Riesberg,2
Schönhof,4
Bakerganj Upazila,71537
Bubach,76
Gozón,4264
Yerragondapalem mandal,14558
Burhanuddin Upazila,48534
Kölberg,1
Hartmannsöd,1
Frieberting,1
Brand,1
Sperr,1
Pfarrhof,1
Heiß,1
Carreño,4429
Kleinweichs,17
Bamna Upazila,19537
Bhola Sadar Upazila,88068
Avilés,35805
Betagi Upazila,27922
Racherla mandal,9146
Castrillón,9611
Castrillón,9611
Castrillón,9611
Parchur mandal,15531
Aindling,614
Atchampet mandal,15068
Mitterfirmiansreut,102
Bandagal,0
Mautara,0
Chak Modpur,0
Kunduakori,0
Faridpur,0
Arazi Brahmandihi,0
Santhanuthala Padu mandal,16616
Llanes,5687
Jagannathpur Upazila,42866
