Subject,Object
"Volta Redonda mayoral election, 2016 - second round",8269
Twentieth Amendment of the Constitution of Ireland,109066
Ninth Amendment of the Constitution of Ireland,40162
"State elections in Acre in 2014 for Governor, second round",8480
"State elections in Acre in 2014 for Governor, second round",8480
"Volta Redonda mayoral election, 2016 - first round",14708
Eighth Amendment of the Constitution of Ireland,8625
"Belford Roxo mayoral election, 2016 - second round",29557
"Belford Roxo mayoral election, 2016 - second round",29557
Thirty-seventh Amendment of the Constitution Bill 2018,22236
"State elections in Acre in 2014 for Governor, first round",24029
"State elections in Acre in 2014 for Governor, first round",24029
"Petrópolis mayoral election, 2016 - second round",21401
