Subject,Object
Helsinki Ice Hall,HIFK Hockey
KV18,Ramesses X
Horácký zimní stadion,HC Dukla Jihlava
Volksbank Arena,HSV Hamburg
Hands Oval,South Bunbury Football Club
Memorial Athletic and Convocation Center,Kent State Golden Flashes
KV13,Chancellor Bay
KV10,Amenmesse
KV15,Seti II
James B. Sheffield Olympic Skating Rink,1932 Winter Olympics
Stadio Olympica,SG Cortina
KV46,Yuya
Robertson Oval,New South Wales cricket team
Punt Road Oval,Richmond Football Club
KV11,Ramesses III
KV47,Siptah
Western Hall,Western Illinois University
WV22,Amenhotep III
University Arena,Western Michigan Broncos women's basketball
Stjernehallen,Stjernen Hockey
UNF Arena,North Florida Ospreys
Hvidovre Icehockey Club,Hvidovre Ishockey Klub
Zimní stadion,HC Kladno
Ice rink at the West Station,Essen Mosquitoes
KV42,Merytre-Hatshepsut
KV Arena,HC Karlovy Vary
FIU Arena,FIU Panthers
KV19,Mentuherkhepeshef
Waverley Park,Hawthorn Football Club
Skalica Ice Stadium,HK 36 Skalica
White Auditorium,Emporia State University
