Subject,Object
1994 Winter Olympics,Harald V of Norway
1994 Winter Olympics,Harald V of Norway
1994 Winter Olympics,Harald V of Norway
1994 Winter Olympics,Harald V of Norway
1994 Winter Olympics,Harald V of Norway
1994 Winter Olympics,Harald V of Norway
1948 Winter Olympics,Enrico Celio
1936 Winter Olympics,Adolf Hitler
1952 Winter Olympics,"Princess Ragnhild, Mrs. Lorentzen"
1952 Winter Olympics,"Princess Ragnhild, Mrs. Lorentzen"
1952 Winter Olympics,"Princess Ragnhild, Mrs. Lorentzen"
1952 Winter Olympics,"Princess Ragnhild, Mrs. Lorentzen"
1952 Winter Olympics,"Princess Ragnhild, Mrs. Lorentzen"
1952 Winter Olympics,"Princess Ragnhild, Mrs. Lorentzen"
