Subject,Object
FIU Arena,Florida International University
UNF Arena,University of North Florida
Soyuz TMA-4,Roscosmos State Corporation
Soyuz TMA-2,Roscosmos State Corporation
Soyuz TMA-5,Roscosmos State Corporation
Soyuz TMA-6,Roscosmos State Corporation
Soyuz TMA-22,Roscosmos State Corporation
Soyuz TMA-18,Roscosmos State Corporation
Soyuz TMA-7,Roscosmos State Corporation
Soyuz TMA-10,Roscosmos State Corporation
Soyuz TMA-16,Roscosmos State Corporation
Soyuz TM-1,Roscosmos State Corporation
Memorial Athletic and Convocation Center,Kent State University
Ninh Thuận 2 Nuclear Power Plant,Vietnam Electricity
Namboku Line,Sendai City Transportation Bureau
Namboku Line,Sapporo City Transportation Bureau
Havre Air Force Station,Aerospace Defense Command
White Auditorium,Emporia
Rabenauer Grund power station,Enso Energie Sachsen Ost
28 cm SK C/28 naval gun,German Navy
20.3 cm SK C/34 naval gun,German Navy
Italian battleship Conte di Cavour,German Navy
Lanyu Power Plant,Taiwan Power Company
Qimei Power Plant,Taiwan Power Company
Chienshan Power Plant,Taiwan Power Company
Tashan Power Plant,Taiwan Power Company
Tunghsiao Power Plant,Taiwan Power Company
RB 56,Hohenzollerische Landesbahn
RB 57,Hohenzollerische Landesbahn
RB 56,Bentheimer Eisenbahn
Trolleybuses in Biel/Bienne,Verkehrsbetriebe Biel/Transports publics biennois
Columbia Records,"Columbia Records, Inc."
Nord 3.101,Chemins de fer du Nord
Flingern power station,Stadtwerke Düsseldorf
Punt Road Oval,Richmond Football Club
München Neuperlach Süd station,Münchner Verkehrsgesellschaft mbH (MVG)
Chiahui Power Plant,Chiahui Power Corporation
USS Natick,United States Navy
USS Natahki,United States Navy
USS Nanticoke,United States Navy
USS Muskegon,United States Navy
USS Mishawaka,United States Navy
USS Mecosta,United States Navy
USS Mascoutah,United States Navy
USS Manistee,United States Navy
USS Kittaton,United States Navy
USS Kittanning,United States Navy
USS Keokuk,United States Navy
Hyannis,United States Navy
USS Ganadoga,United States Navy
Naval Live Oaks Reservation,United States Navy
Mohammed VI - B,royal centre for remote sensing
Towne Centre Boulevard,Utah Transit Authority
Main Street,Utah Transit Authority
University Place,Utah Transit Authority
Lakeview,Utah Transit Authority
Hiten,Institute of Space and Astronautical Science
RB 31,DB Regio Südost
Fort Robert Smalls,Union Army
Fort Laughlin,Union Army
Hitomi,Japan Aerospace Exploration Agency
Akari,Japan Aerospace Exploration Agency
Osnabrück Central Station,WestfalenBahn
Bowie Mill Park,Montgomery Parks
Strathmore Park,Montgomery Parks
Saddlebrook Park,Montgomery Parks
Quebec Terrace Park,Montgomery Parks
Glenfield Park,Montgomery Parks
Georgian Forest Park,Montgomery Parks
Dartmouth power station,AGL Energy
Sierra Army Depot,United States Army
Parks Reserve Forces Training Area,United States Army
Fort Hoskins,United States Army
Wasserburg power station,Verbund
Big Thicket National Preserve Visitor Center,National Park Service
Waco Mammoth National Monument Welcome Center,National Park Service
White Sands National Park Visitor Center,National Park Service
Hubbell Trading Post National Historic Site Visitor Center,National Park Service
Natural Bridges Visitor Center,National Park Service
Sangre de Cristo Wilderness,National Park Service
Haleakalā Wilderness,National Park Service
Hockett Meadow Ranger Station,National Park Service
Horseshoe Lake Ranger Station,National Park Service
Graves Creek Ranger Station,National Park Service
Elkhorn Guard Station,National Park Service
Redwood Meadow Ranger Station,National Park Service
Hockett Meadow Ranger Station,National Park Service
Wild Basin Ranger Station,National Park Service
Warner Valley Ranger Station,National Park Service
RB 16,Go-Ahead Baden-Württemberg GmbH
RB 13,Go-Ahead Baden-Württemberg GmbH
Hsintao Power Plant,Hsin Tao Power Corporation
Western Hall,Western Illinois Leathernecks
RB 18,Abellio Rail Baden-Württemberg
RB 17C,Abellio Rail Baden-Württemberg
RB 17A,Abellio Rail Baden-Württemberg
Line 1,Chengdu rail transit Group Company Limited
Line 7,Chengdu rail transit Group Company Limited
Uzbek Wikibooks,Wikimedia Foundation
Kurdish Wikibooks,Wikimedia Foundation
Tajik Wikibooks,Wikimedia Foundation
Kazakh Wikibooks,Wikimedia Foundation
Serbian Wikibooks,Wikimedia Foundation
Chinese Wikibooks,Wikimedia Foundation
Wikimedia Meta-Wiki,Wikimedia Foundation
Serbian Wikipedia,Wikimedia Foundation
Chinese Wikinews,Wikimedia Foundation
Chinese Wikivoyage,Wikimedia Foundation
Wikimedia Incubator,Wikimedia Foundation
Wikidata,Wikimedia Foundation
Chinese Wikisource,Wikimedia Foundation
Wikimedia Incubator,Wikimedia Foundation
Inuktitut Wikipedia,Wikimedia Foundation
Tajik Wikipedia,Wikimedia Foundation
Uzbek Wikipedia,Wikimedia Foundation
Yiddish Wikisource,Wikimedia Foundation
Venetian Wikisource,Wikimedia Foundation
Turkish Wikisource,Wikimedia Foundation
Thai Wikisource,Wikimedia Foundation
Telugu Wikisource,Wikimedia Foundation
Tamil Wikisource,Wikimedia Foundation
Serbian Wikisource,Wikimedia Foundation
Slovene Wikisource,Wikimedia Foundation
Slovak Wikisource,Wikimedia Foundation
Sakha Wikisource,Wikimedia Foundation
Romanian Wikisource,Wikimedia Foundation
Norwegian Wikisource,Wikimedia Foundation
Dutch Wikisource,Wikimedia Foundation
Marathi Wikisource,Wikimedia Foundation
Macedonian Wikisource,Wikimedia Foundation
LSWR 177-class no. 188,London and South Western Railway
LSWR 177-class no. 186,London and South Western Railway
LSWR 177-class no. 185,London and South Western Railway
LSWR 177-class no. 182,London and South Western Railway
LSWR 177-class no. 179,London and South Western Railway
LSWR 177-class no. 177,London and South Western Railway
Dortmund Stadtbahn,DSW21
Capital Airport Express,"Beijing Capital Metro Corp., Ltd."
30th Street Station,Amtrak
PLM 241.B.1,Compagnie des chemins de fer de Paris à Lyon et à la Méditerranée
PLM C.1 and C.2,Compagnie des chemins de fer de Paris à Lyon et à la Méditerranée
IRNSS-1I,Indian Space Research Organisation
Rohini Satellite RS-1,Indian Space Research Organisation
Astrosat,Indian Space Research Organisation
Hirschaid power station,Uniper
Casablanca Records,"Casablanca Records, Inc."
Kūkō Line,Fukuoka City Transportation Bureau
Robertson Oval,Cricket NSW
Eichholz power station,Schluchseewerk
Transatlantic Records,Transatlantic Records Ltd.
Osvatn power station,Småkraft AS
Møllefossen power station,Småkraft AS
Changsheng Power Plant,"Ever Power IPP Co., Ltd."
RB 11,DB Regio Baden-Württemberg
RB 11,DB Regio Nordost
Lunar Atmosphere and Dust Environment Explorer,National Aeronautics and Space Administration
MESSENGER,National Aeronautics and Space Administration
Dawn,National Aeronautics and Space Administration
Gemini 2,National Aeronautics and Space Administration
AS-202,National Aeronautics and Space Administration
Gemini 2,National Aeronautics and Space Administration
Solar and Heliospheric Observatory,National Aeronautics and Space Administration
Wilkinson Microwave Anisotropy Probe,National Aeronautics and Space Administration
James Webb Space Telescope,National Aeronautics and Space Administration
Nuclear Spectroscopic Telescope Array,National Aeronautics and Space Administration
SS Prince George,Grand Trunk Railway
Kootenai National Forest,United States Forest Service
Gila National Forest,United States Forest Service
Flathead National Forest,United States Forest Service
Malheur National Forest,United States Forest Service
Siuslaw National Forest,United States Forest Service
Chugach National Forest,United States Forest Service
Custer National Forest,United States Forest Service
Olympic National Forest,United States Forest Service
Sam Houston National Forest,United States Forest Service
