Subject,Object
RK Borec,Macedonian Handball Cup
AEP Paphos F.C.,2012–13 Cypriot First Division
APOP Kinyras FC,2010–11 Cypriot First Division
AEP Paphos F.C.,2010–11 Cypriot First Division
APOP Kinyras FC,2007–08 Cypriot First Division
AEP Paphos F.C.,2003–04 Cypriot First Division
APOP Kinyras FC,2009–10 Cypriot First Division
AEP Paphos F.C.,2009–10 Cypriot First Division
APOP Kinyras FC,2007–08 Cypriot Cup
AEP Paphos F.C.,2007–08 Cypriot Cup
APOP Kinyras FC,2010–11 Cypriot Cup
AEP Paphos F.C.,2010–11 Cypriot Cup
APOP Kinyras FC,2009–10 Cypriot Cup
ASC Corona 2010 Brașov,Liga Naţională
