Subject,Object
1971 FA Cup Final,Arsenal F.C.
1952 FA Cup Final,Arsenal F.C.
2016 GP Laguna,Felbermayr Simplon Wels 2016
2016 Coppa Ugo Agostoni,Kolss-BDC 2016
2016 Coppa Ugo Agostoni,Kolss-BDC 2016
2019 Tour de Langkawi,2019 Japanese men's national road cycling team
2019 Tour de Langkawi,Neri Sottoli-Selle Italia-KTM 2019
2018 Classica da Arrábida,Manzana Postobón 2018
2018 Tour de l'Ain,Manzana Postobón 2018
2013 Danmark Rundt,Saxo-Tinkoff 2013
2019 Tour of Norway,2019 Astana
2019 Tour of Norway,EF Education First Pro Cycling 2019
2019 La Flèche Wallonne,Sunweb 2019
2019 ZLM Toer,Sunweb 2019
2019 ZLM Toer,Burgos-BH 2019
2019 ZLM Toer,Burgos-BH 2019
2019 ZLM Toer,Burgos-BH 2019
2019 ZLM Toer,2019 Differdange-GeBa
2019 ZLM Toer,Burgos-BH 2019
2019 Tour of the Basque Country,2019 Astana
2019 Tour of the Basque Country,Burgos-BH 2019
1980 Scheldeprijs,TI-Raleigh-Creda 1980
1909 FA Cup Final,Manchester United F.C.
1977 FA Cup Final,Manchester United F.C.
1976 FA Cup Final,Manchester United F.C.
1957 FA Cup Final,Manchester United F.C.
2018 Scheldeprijs,Katusha-Alpecin 2018
2018 La Flèche Wallonne,Katusha-Alpecin 2018
2018 Tour of the Basque Country,EF Education First-Drapac 2018
2018 Tour of the Basque Country,Katusha-Alpecin 2018
1989 FA Cup Final,Everton F.C.
2016 Scheldeprijs,FDJ 2016
2016 Tour de France,FDJ 2016
2016 Tour de France,FDJ 2016
2016 Paris–Roubaix,FDJ 2016
2016 Paris–Roubaix,FDJ 2016
2016 Paris–Roubaix,FDJ 2016
2016 Paris–Roubaix,FDJ 2016
2016 Tour de l'Ain,FDJ 2016
2016 Tour de l'Ain,AG2R La Mondiale 2016
1901 FA Cup Final,Tottenham Hotspur F.C.
1991 FA Cup Final,Tottenham Hotspur F.C.
1962 FA Cup Final,Tottenham Hotspur F.C.
2018 Vuelta a la Comunidad de Madrid,Caja Rural-Seguros RGA 2018
2018 Vuelta a la Comunidad de Madrid,Coldeportes-Zenú 2018
2017 Le Samyn,Israel Cycling Academy 2017
2012 Danmark Rundt,2012 Vacansoleil-DCM season
2017 Paris–Troyes,Team Wiggins 2017
2017 Paris–Troyes,Sport Vlaanderen-Baloise 2017
2017 Ster ZLM Toer,Sport Vlaanderen-Baloise 2017
2017 Ster ZLM Toer,Monkey Town Continental 2017
2017 Ster ZLM Toer,Sport Vlaanderen-Baloise 2017
2017 Ster ZLM Toer,Verandas Willems-Crelan 2017
2017 Ster ZLM Toer,Lotto-Soudal 2017
2017 Ster ZLM Toer,Sport Vlaanderen-Baloise 2017
2017 Ster ZLM Toer,Sport Vlaanderen-Baloise 2017
1997 FA Cup Final,Chelsea F.C.
1970 FA Cup Final,Chelsea F.C.
2019 Le Samyn,2019 Corendon-Circus
2017 Paris–Roubaix,Sky 2017
2017 Paris–Roubaix,Fortuneo-Oscaro 2017
2017 Tour de l'Ain,Fortuneo-Oscaro 2017
2017 Boucles de l'Aulne,Delko-Marseille Provence-KTM 2017
2017 Boucles de l'Aulne,Delko-Marseille Provence-KTM 2017
2017 Boucles de l'Aulne,Delko-Marseille Provence-KTM 2017
2017 Boucles de l'Aulne,Delko-Marseille Provence-KTM 2017
2017 Boucles de l'Aulne,Delko-Marseille Provence-KTM 2017
2016 Le Samyn,Direct Énergie 2016
2019 Sundvolden Grand Prix,Sandnes Sykleklubb
2019 Ringerike Grand Prix,Sandnes Sykleklubb
2019 Sundvolden Grand Prix,Sandnes Sykleklubb
2019 Ringerike Grand Prix,Sandnes Sykleklubb
2012 Four Days of Dunkirk,Bretagne-Schuller 2012
2012 Four Days of Dunkirk,Bretagne-Schuller 2012
2018 Le Samyn,Verandas Willems-Crelan 2018
2018 Four Days of Dunkirk,Roompot-Nederlandse Loterij 2018
2017 Danmark Rundt,Giant-Castelli 2017
2014 La Flèche Wallonne,2014 Colombia season
1873 FA Cup Final,Wanderers F.C.
2015 Danmark Rundt,Bardiani CSF 2015
2017 Scheldeprijs,Bahrain-Merida 2017
2017 Tour de France,Bahrain-Merida 2017
2017 Tour de France,Bahrain-Merida 2017
2017 Tour de France,2017 Quick-Step Floors
2017 La Flèche Wallonne,Bahrain-Merida 2017
2019 Boucles de l'Aulne,AG2R La Mondiale 2019
2019 Boucles de l'Aulne,AG2R La Mondiale 2019
2019 Boucles de l'Aulne,AG2R La Mondiale 2019
2019 Boucles de l'Aulne,AG2R La Mondiale 2019
2019 Boucles de l'Aulne,AG2R La Mondiale 2019
2019 Boucles de l'Aulne,2019 Groupama-FDJ
2018 Tour de Langkawi,Wilier Triestina-Selle Italia 2018
2018 Tour de Langkawi,7 Eleven–Cliqq Roadbike Philippines
2018 Tour of Norway,Sky 2018
2018 Tour of Norway,Bardiani CSF 2018
2018 Coppa Ugo Agostoni,Sky 2018
2018 Coppa Ugo Agostoni,Polartec-Kometa 2018
2018 Classica Aldeias do Xisto,Extremadura-Spiuk
2015 Paris–Roubaix,Sky 2015
2015 Paris–Roubaix,Sky 2015
2015 Paris–Roubaix,Sky 2015
2015 Paris–Roubaix,Sky 2015
2015 Paris–Roubaix,Sky 2015
