Subject,Object
valsartan,Angiotensin II receptor type 1
valsartan,Angiotensin II receptor type 1
valsartan,Angiotensin II receptor type 1
stearic monoethanolamide,G protein-coupled receptor 119
genistein,Estrogen related receptor gamma
genistein,Estrogen related receptor beta
propranolol,Adrenoceptor beta 2
palmidrol,G protein-coupled receptor 55
oleic monoethanolamide,Peroxisome proliferator activated receptor alpha
epoprostenol,Prostaglandin E receptor 1
ondansetron,5-hydroxytryptamine receptor 3A
ondansetron,5-hydroxytryptamine receptor 3A
adenosine triphosphate,Ryanodine receptor 3
adenosine triphosphate,Purinergic receptor P2X 1
tretinoin,Retinoic acid receptor beta
adapalene,Retinoic acid receptor alpha
adapalene,Retinoic acid receptor alpha
tretinoin,Retinoic acid receptor alpha
anandamide,Transient receptor potential cation channel subfamily V member 1
(RS)-citalopram,Solute carrier family 6 member 4
