Subject,Object
"2019 Giro d'Italia, stage 6",Matteo Moschetti
"2019 Giro d'Italia, stage 6",Fausto Masnada
"2019 Giro d'Italia, stage 6",Pascal Ackermann
"2019 Giro d'Italia, stage 6",Arnaud Démare
"2019 Giro d'Italia, stage 6",Diego Ulissi
"2019 Giro d'Italia, stage 8",Matteo Moschetti
"2019 Giro d'Italia, stage 7",Fausto Masnada
"2019 Giro d'Italia, stage 8",Richard Carapaz
"2019 Giro d'Italia, stage 17",Fausto Masnada
"2019 Giro d'Italia, stage 15",Fausto Masnada
"2019 Giro d'Italia, stage 17",Damiano Cima
"2019 Giro d'Italia, stage 15",Damiano Cima
"2019 Giro d'Italia, stage 17",Damiano Cima
2019 Vuelta a Castilla y León,Daniele Bennati
2011 Vuelta a Castilla y León,Alberto Contador
2012 Danmark Rundt,André Greipel
2016 Tour de France,Thomas De Gendt
2016 Tour de France,André Greipel
2010 Volta ao Algarve,André Greipel
2010 Volta ao Algarve,Alberto Contador
"2017 Tour de France, Stage 8",André Greipel
"2018 Arctic Race of Norway, stage 3",Mathieu van der Poel
2017 Danmark Rundt,Florian Maitre
2018 Volta a Portugal,Enrique Sanz
2018 Volta a Portugal,Joni Brandão
2018 Volta a Portugal,Raúl Alarcón
2018 Vuelta a la Comunidad de Madrid,Enrique Sanz
2018 Vuelta a la Comunidad de Madrid,Enrique Sanz
Alé Cipollini 2019,Diana Peñuela
2018 Deutschland Tour,Damiano Caruso
2018 Deutschland Tour,Nils Politt
"2019 Ladies Tour of Norway, Stage 2",Lorena Wiebes
"2019 Ladies Tour of Norway, Stage 2",Letizia Paternoster
"2019 Ladies Tour of Norway, Stage 2",Coryn Rivera
"2019 Ladies Tour of Norway, Stage 2",Emilie Moberg
"2019 Ladies Tour of Norway, Stage 2",Marta Bastianelli
"2019 Ladies Tour of Norway, Stage 2",Marianne Vos
Gran Premio Femenino de Plouay 2018,Annemiek van Vleuten
2019 Grand Prix de Plouay,Annemiek van Vleuten
Gran Premio Femenino de Plouay 2018,Annemiek van Vleuten
2019 Grand Prix de Plouay,Annemiek van Vleuten
Gran Premio Femenino de Plouay 2018,Marianne Vos
2019 Grand Prix de Plouay,Marianne Vos
Gran Premio Femenino de Plouay 2018,Marianne Vos
2019 Grand Prix de Plouay,Marianne Vos
Gran Premio Femenino de Plouay 2018,Annemiek van Vleuten
2019 Grand Prix de Plouay,Soraya Paladin
Gran Premio Femenino de Plouay 2018,Katarzyna Niewiadoma
2019 Deutschland Tour,Alexander Kristoff
2019 Deutschland Tour,Alexander Kristoff
2017 Volta a Portugal,Amaro Antunes
2017 Volta a Portugal,João Benta
2017 Volta a Portugal,Krists Neilands
2013 Vuelta a Castilla y León,Ken Hanson
2017 Vuelta a la Comunidad de Madrid,Fabricio Ferrari
2017 Vuelta a la Comunidad de Madrid,Dmitry Strakhov
Bigla 2019,Julie Leth
2018 Astana,Sofia Beggin
2020 Vuelta a Andalucía,Jon Izagirre
2020 Vuelta a Andalucía,Jon Izagirre
Canyon Sram Racing 2017,Alexis Ryan
2018 Clásico RCN,Fabio Duarte
2018 Clásico RCN,Fabio Duarte
2017 Tour de France,Sonny Colbrelli
2017 Tour de France,Sonny Colbrelli
2017 Tour de France,Sonny Colbrelli
2018 Vuelta a Andalucía,Jakob Fuglsang
2018 Vuelta a Andalucía,Thomas Boudat
2013 Danmark Rundt,Wilco Kelderman
"2019 Tour de France, stage 8",Julian Alaphilippe
"2019 Tour de France, stage 3",Julian Alaphilippe
"2019 Giro d'Italia, stage 2",Caleb Ewan
"2019 Tour de France, stage 17",Caleb Ewan
"2019 Tour de France, stage 8",Caleb Ewan
2009 Volta ao Algarve,Manuel Antonio Cardoso
2009 Volta ao Algarve,Manuel Antonio Cardoso
2012 Vuelta a Castilla y León,Luis León Sánchez
2014 Vuelta a Castilla y León,Luis León Sánchez
2015 Danmark Rundt,Søren Kragh Andersen
"2017 Tour de France, Stage 9",Chris Froome
2018 Vuelta a Castilla y León,Rubén Plaza
2017 Vuelta a Castilla y León,Sergey Shilov
Volta a Portugal de 2019,Marco Tizza
"2019 Vuelta a España, stage 6",Tadej Pogačar
"2019 Vuelta a España, stage 8",Tadej Pogačar
