Subject,Object
Snegurochka,The Snow Maiden
Snegurochka,The Snow Maiden
Snegurochka,The Snow Maiden
Cable,Deadpool 2
Betazed,Losing the Peace
Betazed,Old Wounds
Deneb Ⅳ,The Worlds of the Federation
Betazed,The Worlds of the Federation
Melusine,Histoire de Mélusine
Delirium,The Sandman
Delirium,The Sandman
Eve,Quran
Till Eulenspiegel,The Legend of Thyl Ulenspiegel and Lamme Goedzak
Palpatine,Star Wars Rebels
Palpatine,Star Wars: Episode III – Revenge of the Sith
Lisa Simpson,The Simpsons
Bart Simpson,The Simpsons
Luke Skywalker,Star Wars Galaxies
Raziel,Legacy of Kain: Soul Reaver
Raziel,Legacy of Kain: Soul Reaver
Bentina Beakley,DuckTales
Launchpad McQuack,DuckTales
Launchpad McQuack,DuckTales
Judy Jetson,The Jetsons
Rodney,The Great Boldini
Kadamattathu Kathanar,Kadamattathachan
Trill,Enemy of My Enemy
Trill,Demons of Air and Darkness
Trill,Vectors
Father Christmas,"Christmas, His Masque"
Father Christmas,"Christmas, His Masque"
Father Christmas,"Christmas, His Masque"
Moka Akashiya,Rosario + Vampire
Moka Akashiya,Rosario + Vampire
Sinterklaas,Sinterklaasjournaal
Sinterklaas,Sinterklaasjournaal
Sinterklaas,Sinterklaasjournaal
Sinterklaas,Sinterklaasjournaal
Sinterklaas,Sinterklaasjournaal
Belthazor,Charmed
Zankou,Charmed
Belthazor,Charmed
Zankou,Charmed
Belthazor,Charmed
Peter,Gospel of John
Marie-Josephte Corriveau,Les Anciens Canadiens
Martian Manhunter,Smallville
Cyborg,Smallville
Cyborg,Smallville
Professor Hamilton,Smallville
Spawn,Spawn
Shahryar,One Thousand and One Nights
Shahryar,One Thousand and One Nights
Butch O'Really,Enter: Mutagen Man
Seymour Gutz,Enter: Mutagen Man
Abel,Genesis 4
Russian,The Punisher
Rickon Stark,A Song of Ice and Fire
Cain,Children of Eden
Anakin Skywalker,Star Wars Episode I: The Phantom Menace
Ludwig Von Drake,An Adventure in Color/Mathmagicland
wicked fairy godmother,The Sleeping Beauty
Jack Frost,The Frost King
Zeus,Wonder Woman
