Subject,Object
"Kilgarren castle, Cardiganshire",Thomas Clay
Miscelánea de Estudios Árabes y Hebraicos. Sección Hebreo,University of Granada
Revista del Centro de Estudios Históricos de Granada y su Reino,University of Granada
Egypte/monde arabe,"Centre d'études et de documentation économiques, juridiques et sociales"
"Catalogue of paintings in the National Gallery, London",Art UK
Revista Brasileira de Ciências Sociais,National Association of Post-Graduate Research in Social Sciences
"Eastern view of Wrexham church, from Mount street",Thomas Painter
Tebeosfera,Asociación Cultural Tebeosfera
U.S. Route Numbering Sub-Committee Agenda,American Association of State Highway and Transportation Officials
U.S. Route Numbering Sub-Committee Agenda,American Association of State Highway and Transportation Officials
U.S. Route Numbering Sub-Committee Agenda,American Association of State Highway and Transportation Officials
U.S. Route Numbering Sub-Committee Agenda,American Association of State Highway and Transportation Officials
U.S. Route Numbering Committee Agenda,American Association of State Highway and Transportation Officials
U.S. Route Numbering Sub-Committee Agenda,American Association of State Highway and Transportation Officials
U.S. Route Numbering Sub-Committee Agenda,American Association of State Highway and Transportation Officials
U.S. Route Numbering Sub-Committee Agenda,American Association of State Highway and Transportation Officials
U.S. Route Numbering Sub-Committee Agenda,American Association of State Highway and Transportation Officials
The vale of Llangollen,Charles Knight
Understanding Comics,Tundra Publishing
"House of Slaves and “Door of No Return”: Gold Coast/Ghana Slave Forts, Castles & Dungeons and the Atlantic Slave Trade",Africa World Press
Verba Hispanica,University of Ljubljana
Journal of Psychopharmacology,SAGE Publishing
Journal of Ocean and Climate,SAGE Publishing
Journal of Ocean and Climate,SAGE Publishing
Actualidad Económica,National University of Córdoba
Financial Modeling,MIT Press
64 Trump Collection: Alice no Waku Waku Trump World,Bottom Up
Sleep,Oxford University Press
Development,The Company of Biologists
Shenzhen,Drawn and Quarterly
Pyongyang,Drawn and Quarterly
"Cherry Grove, Fire Island: Sixty Years in America’s First Gay and Lesbian Town",Beacon Press
Uno,Xbox Game Studios
World Series of Poker: Full House Pro,Xbox Game Studios
Uno,Xbox Game Studios
Essential Evidence-Based Medicine,Cambridge University Press
Hystrix,Associazione Teriologica Italiana
Texas Hold'em King,Magmic
Ultimatum,Marvel Comics
Aliens: Xenogenesis,Dark Horse Comics
Aliens,Dark Horse Comics
Aliens: Defiance,Dark Horse Comics
Aliens: Life and Death,Dark Horse Comics
Prometheus: Life and Death,Dark Horse Comics
Predator: Life and Death,Dark Horse Comics
Alien vs. Predator: Fire and Stone,Dark Horse Comics
Predator: Fire and Stone,Dark Horse Comics
Aliens: Fire and Stone,Dark Horse Comics
Bound and Gagged: Pornography and the Politics of Fantasy in America,Grove Press
Ola Financiera,National Autonomous University of Mexico
International Journal of Life Cycle Assessment,Springer Science+Business Media
Journal of Applied Animal Research,Taylor & Francis
Plant Production Science,Taylor & Francis
"Acta Agriculturae Scandinavica, Section B",Taylor & Francis
V.I.P. Casino: Blackjack,Nintendo
Kunst og Kultur,Scandinavian University Press/Universitetsforlaget
Revista Espaço Acadêmico,Universidade Estadual de Maringá
Revista Pediatría de Atención Primaria,Lúa Ediciones
Bridging the gap between bird conservation and sustainable development : perceptions and participation of rural people in Burkina Faso's Sahel region,African Studies Centre Leiden
Contesting control : land and forest in the struggle for Loita Maasai self-government in Kenya,African Studies Centre Leiden
Consuming democracy : local agencies & liberal peace in the Democratic Republic of Congo,African Studies Centre Leiden
"Balancing men, morals and money : women's agency between HIV and security in a Malawi village",African Studies Centre Leiden
Beyond the facade : instrumentalisation of the Zambian health sector,African Studies Centre Leiden
"Being old in times of AIDS: aging, caring and relating in northwest Tanzania",African Studies Centre Leiden
Coping with inadequacy: understanding the effects of central teacher recruitment in six ward secondary schools in Tanzania,African Studies Centre Leiden
Bodies in action: culture and body skills in post-conflict Sierra Leone,African Studies Centre Leiden
"Advances in coastal ecology : people, processes and ecosystems in Kenya",African Studies Centre Leiden
"""Ask and you shall be given"" : Pentecostalism and the economic crisis in Cameroon",African Studies Centre Leiden
Iter Italicum,Warburg Institute
Tintin in Tibet,Casterman
Tintin and Alph-Art,Casterman
Destination Moon,Casterman
Explorers on the Moon,Casterman
The Castafiore Emerald,Casterman
Prisoners of the Sun,Casterman
The Seven Crystal Balls,Casterman
Destination Moon,Casterman
Explorers on the Moon,Casterman
Isle of Anglesea near the Paris mine,Rudolph Ackermann
Cardiganshire: near Aberystwith,Rudolph Ackermann
RFC 6592: The Null Packet,Internet Engineering Task Force
"RFC 8140: The Arte of ASCII: Or, An True and Accurate Representation of an Menagerie of Thynges Fabulous and Wonderful in Ye Forme of Character",Internet Engineering Task Force
RFC 8136: Additional Transition Functionality for IPv6,Internet Engineering Task Force
RFC 7168: The Hyper Text Coffee Pot Control Protocol for Tea Efflux Appliances,Internet Engineering Task Force
RFC 4042: UTF-9 and UTF-18 Efficient Transformation Formats of Unicode,Internet Engineering Task Force
RFC 1926: An Experimental Encapsulation of IP Datagrams on Top of ATM,Internet Engineering Task Force
RFC 2100: The Naming of Hosts,Internet Engineering Task Force
RFC 1925: The Twelve Networking Truths,Internet Engineering Task Force
RFC 5841: TCP Option to Denote Packet Mood,Internet Engineering Task Force
RFC 1437: The Extension of MIME Content-Types to a New Medium,Internet Engineering Task Force
RFC 1313: Today's Programming for KRFC AM 1313 Internet Talk Radio,Internet Engineering Task Force
RFC 3514: The Security Flag in the IPv4 Header,Internet Engineering Task Force
RFC 6217: Regional Broadcast Using an Atmospheric Link Layer,Internet Engineering Task Force
Journal of Clinical Investigation,American Society for Clinical Investigation
Trimestre Economico,Fondo de Cultura Económica
Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences
Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences
"Pylle Priory, Pembrokeshire",William Clarke
Berts dagbok,Rabén & Sjögren
Berts första betraktelser,Rabén & Sjögren
Berts bryderier,Rabén & Sjögren
Berts bravader,Rabén & Sjögren
Berts bekännelser,Rabén & Sjögren
Berts bekymmer,Rabén & Sjögren
Bert och brorsorna,Rabén & Sjögren
Bert och bacillerna,Rabén & Sjögren
Bert och Boysen,Rabén & Sjögren
Berts bravader,Rabén & Sjögren
Berts första betraktelser,Rabén & Sjögren
Berts vidare betraktelser,Rabén & Sjögren
Berts bravader,Rabén & Sjögren
Contexto revista de la facultad de arquitectura de la UANL,Universidad Autónoma de Nuevo León
Vegueta,University of Las Palmas de Gran Canaria
Gateway Of Carnarvon Castle,William Pritchard
Acta Paediatrica,Wiley-Blackwell
The Strange Awakening of Lazy Smurf,Le Lombard
Ion Mobility Spectrometry,CRC Press
La Directa,"La Directa, SCCL"
The Menai Bridge,John Seacome
Dutch Art in America,The Netherlands-American Amity Trust
Revista de Estudios Empresariales,"Facultad de Ciencias Sociales y Jurídicas, Universidad de Jaén"
Spectromancer,Apus Software
"S.W. view Milford town, Pembrokeshire",Charles Joseph Hullmandel
Journal of Physics B,IOP Publishing
Pos-Amiko,Dutch Esperanto Youth
View near the Usk at Crickhowell,James Baker
Crickhowel Castle,James Baker
Marvel Trading Card Game,Konami
Marvel's 'Doctor Strange' begins production,Marvel Entertainment
Thor Brings Ragnarok to the Marvel Cinematic Universe in 2017,Marvel Entertainment
Chadwick Boseman to Star in Marvel's Black Panther,Marvel Entertainment
RYAN COOGLER TO DIRECT MARVEL'S 'BLACK PANTHER',Marvel Entertainment
