Subject,Object
Cathedral of Saint Sava,Serbian Orthodox Church
Saint George's Cathedral,Serbian Orthodox Church
Synagogue of Santa María la Blanca,Catholic Church
Roman Catholic Diocese of Évry–Corbeil-Essonnes,Catholic Church
Roman Catholic Diocese of Warszawa-Praga,Catholic Church
Roman Catholic Diocese of Bayeux,Catholic Church
Yelokhovo Cathedral,Orthodox Christianity
Novocherkassk Cathedral,Orthodox Christianity
Church of St. George,Orthodox Christianity
Church of St. George,Orthodox Christianity
St. Michael's Cathedral,Orthodox Christianity
Dormition Cathedral,Orthodox Christianity
Dormition Cathedral,Orthodox Christianity
St. Basil's Cathedral,Orthodox Christianity
"Kazan Cathedral, St. Petersburg",Orthodox Christianity
Alexander Nevsky Cathedral,Bulgarian Orthodox Church
Alexander Nevsky Cathedral,Orthodox Christianity
Schönau Abbey,Catholicism
Mortemer Abbey,Catholicism
Monastère Sainte Catherine de Sienne,Catholicism
Fürstenfeld Abbey,Catholicism
Sant Esteve,Catholicism
Roman Catholic Diocese of Varaždin,Catholicism
Roman Catholic Diocese of Šibenik,Catholicism
Roman Catholic Diocese of Sisak,Catholicism
Roman Catholic Diocese of Vicenza,Catholicism
Roman Catholic Diocese of Treviso,Catholicism
"Ascension Cathedral, Almaty",Russian Orthodox Church
Paoay Church,Latin Church
Miagao Church,Latin Church
Roman Catholic Diocese of Tarazona,Latin Church
