Subject,Object
Communauté de communes Élan Limousin Avenir Nature,Communauté de communes Porte d'Occitanie
Tunisia,French protectorate of Tunisia
1st arrondissement of Paris,former 1st arrondissement of Paris
Montenegro,Republic of Montenegro
Montenegro,Republic of Montenegro
Israel,Mandatory Palestine
United States of America,Confederate States of America
United States of America,Confederate States of America
United States of America,Confederate States of America
United States of America,Confederate States of America
United States of America,Thirteen Colonies
United States of America,Confederate States of America
United States of America,Confederate States of America
Nyköping Municipality,Daga Municipality
Wellington Council,Cobbora Shire
Bjurum,Bjurums parish
6th arrondissement of Paris,former 10th arrondissement of Paris
"XML Data Encoding Specification for Trusted Data Format, version 3","XML Data Encoding Specification for Trusted Data Format, version 2"
Haute-Corrèze Communauté,Communauté de communes des Sources de la Creuse
Communauté de communes du Val Briard,Communauté de communes de la Brie Boisée
Zamfara State,Sokoto State
Brålanda,Brålanda parish
communauté de communes Loches Sud Touraine,Communauté de communes de Montrésor
Borgholm Municipality,Ölands-Åkerbo municipality
Croatia,Socialist Federal Republic of Yugoslavia
Croatia,Socialist Federal Republic of Yugoslavia
North Macedonia,Socialist Federal Republic of Yugoslavia
Croatia,Socialist Federal Republic of Yugoslavia
Armidale Dumaresq Shire,Dumaresq Shire
5th arrondissement of Paris,former 11th arrondissement of Paris
Kristianstad Municipality,Oppmanna och Vånga municipality
Kristianstad Municipality,Degeberga municipality
Japan,Empire of Japan
Askersund Municipality,Askersund Town
"PDF Reference, third edition","PDF Reference, second edition"
Björketorp,Björketorps parish
Playford,Elizabeth
Binneberg,Binnebergs parish
Communauté de communes interrégionale Aumale - Blangy-sur-Bresle,Communauté de communes de Blangy-sur-Bresle
Bäckebol,Bäckebols parish
4th arrondissement of Paris,former 7th arrondissement of Paris
4th arrondissement of Paris,former 7th arrondissement of Paris
4th arrondissement of Paris,former 9th arrondissement of Paris
York—Simcoe,York North
Brämhult,Brämhults parish
Communauté de communes de la Haute Ariège,Communauté de communes des Vallées d'Ax
Cooma-Monaro Shire,Monaro Shire
Port Adelaide Enfield,Port Adelaide
Prospect,Enfield
Port Adelaide Enfield,Enfield
Boorowa Shire,Murrungal Shire
Communauté de communes de l'Est de la Somme,Communauté de communes du Pays Hamois
Malta,State of Malta
10th arrondissement of Paris,former 5th arrondissement of Paris
Lund Municipality,Lunds stad
Lund Municipality,Lunds stad
Lund Municipality,Lunds stad
Anambra State,East Central State
Bråttensby,Bråttensby parish
United Kingdom of Great Britain and Ireland,Great Britain
United Kingdom of Great Britain and Ireland,Great Britain
Communauté de communes Terroir de Caux,Communauté de Communes Saâne et Vienne
Bergum,Bergum parish
Boden Municipality,Boden Town
Boden Municipality,Boden Town
Biskopsgården,Biskopsgården parish
Azerbaijan,Azerbaijan Soviet Socialist Republic
Vatican City,Papal States
Canada,Province of Canada
Canada,Province of Canada
Canada,Province of Canada
Canada,Province of Canada
Canada,Province of Canada
Communauté de communes Isigny-Omaha Intercom,Communauté de communes Intercom Balleroy Le Molay-Littry
Georgia,Georgian Soviet Socialist Republic
Ukraine,Ukrainian Soviet Socialist Republic
Communauté de communes de la Brie des Rivières et Châteaux,Communauté de communes La Brie Centrale
Kingdom of Italy,Republic of German-Austria
Gothenburg Municipality,Kungälv Municipality
Gothenburg Municipality,Kungälv Municipality
Gothenburg Municipality,Kungälv Municipality
Gothenburg Municipality,Kungälv Municipality
Kazakhstan,Kazakh Soviet Socialist Republic
Pickering—Uxbridge,Ajax—Pickering
Ajax,Ajax—Pickering
3rd arrondissement of Paris,former 6th arrondissement of Paris
11th arrondissement of Paris,former 6th arrondissement of Paris
3rd arrondissement of Paris,former 6th arrondissement of Paris
Bjärby,Bjärby parish
Markham—Stouffville,Oak Ridges—Markham
Aurora—Oak Ridges—Richmond Hill,Oak Ridges—Markham
Bitterna,Bitterna parish
Björkekärr,Björkekärrs parish
Ghana,Commonwealth realm of Ghana
Borno State,North-Eastern State
Bäcke,Bäcke parish
"PDF Reference, sixth edition","PDF Reference, fifth edition"
"PDF Reference, fifth edition","PDF Reference, fourth edition"
