Subject,Object
Jiménez,Giménez
D major,B minor
Lascurain,Laskurain
Munoz,Muñoz
Etxaide,Echaide
Ossa,Otxoa
G-flat major,F-sharp major
Zabaleta,Zavaleta
Aguirre,Agirre
Lacunza,Lakuntza
Ares,Mars
Mars,Budenicus
Ares,Mars
López,Lupo
Zelaya,Celaya
Narita interchange,Narita smart interchange
Narita interchange,Narita smart interchange
Queen Grimhilde,Queen
C-sharp major,D-flat major
Beth March,Beth March
G-sharp major,A-flat major
Sanyohimeji-higashi interchange,Toyotomi parking area
Sanyohimeji-higashi interchange,Toyotomi parking area
Tellechea,Telletxea
Arteche,Artetxe
Enyo,Bellona
Charlotte Haze,Charlotte
Segura,Segurola
