Subject,Object
Godzilla vs. Kong,Terry Rossio
"Suddenly, Last Summer",Tennessee Williams
"Suddenly, Last Summer",Tennessee Williams
A Dangerous Adventure,Sam Warner
Wonder Woman 1984,Patty Jenkins
Ocean's Twelve,George Nolfi
Civil Courage,Jürgen Werner
The Neon Demon,Nicolas Winding Refn
Der Sommer der Gaukler,Robert Hültner
Der Sommer der Gaukler,Robert Hültner
Black Widow,Ned Benson
Tatort: Gestern war kein Tag,Pim Richter
Reprise,Joachim Trier
The Santa Fe Trail,Robert A. Dillon
Grave Decisions,Christian Lerch
Grave Decisions,Marcus H. Rosenmüller
In the Days of Daniel Boone,Jefferson Moffitt
Kim Novak Never Swam in Genesaret's Lake,Håkan Nesser
Alien Autopsy,William Davies
Les Vampires,Louis Feuillade
