Subject,Object
Kadamattathu Kathanar,male
Sinterklaas,male
Shahryar,male
Big Bad Wolf,male
Father Christmas,male
Thor,male
Baldur,male
Thor,male
Baldur,male
Remus,male
Romulus,male
Remus,male
Joaquin de la Vega,male
Ender Wiggin,male
Bart Simpson,male
Aragorn,male
Jack Frost,male
Till Eulenspiegel,male
Sinterklaas,male
Sinterklaas,male
Father Christmas,male
Big Bad Wolf,male
Sinterklaas,male
Father Christmas,male
Sinterklaas,male
Shahryar,male
Sneezy,male
Happy,male
Sleepy,male
Bashful,male
Grumpy,male
Launchpad McQuack,male
Ludwig Von Drake,male
Launchpad McQuack,male
Steve Trevor,male
Barry Allen,male
Steve Trevor,male
Barry Allen,male
Rama,male
Rama,male
Krishna,male
Zeus,male
Martian Manhunter,male
Robert Arryn,male
Bran Stark,male
Robert Arryn,male
Bran Stark,male
Joaquin de la Vega,male
Robert Arryn,male
Danny Torrance,male
Bran Stark,male
Ender Wiggin,male
Bart Simpson,male
Danny Torrance,male
Cyborg,male
Cable,male
Russian,male
Cyborg,male
Professor Hamilton,male
Rodney,male
Clyde,male
Monroe Flem,male
Butch O'Really,male
Seymour Gutz,male
Aaron,male
Moses,male
Jehoshaphat,male
Zedekiah,male
Ahab,male
Jotham of Judah,male
Cyrus the Great,male
Levi,male
Nereus,male
Nereus,male
