Subject,Object
Cl* NGC 5139 BPB 81157,69.0
HD 165590,16.0
CPD-57 1131,27.7
BD+67 1030,2.35
4 Ceti,81.0
TYC 3002-501-1,2.44
Rigel,37.0
Gliese 269,16.3
HD 125040,38.0
QV Andromedae,49.0
V* EU Dra,8.5
HD 194279,48.0
HD 192639,101.0
TYC 1609-1518-1,2.67
TYC 5127-2055-1,2.67
Mintaka,121.0
Omega Aurigae,107.0
TYC 4687-2279-1,2.89
[MLF2014] 105432,1.0
KIC 5024043,5.5
V897 Her,34.1
18 Ursae Majoris,159.0
HD 186465,243.0
CD-46 5148,5.8
V* GR Dra,7.0
CD-56 1450,12.0
39 Comae Berenices,26.0
KIC 5200152,8.3
TYC 4479-446-1,2.46
HD 204411,23.0
HD 26015,25.0
KIC 4937056,7.27
TYC 1601-1491-1,2.36
HD 103483,75.0
[MLF2014] 6365,9.0
Saiph,43.0
Alpha Librae,5.95
Alnilam,42.0
HD 352059,2.5
BD-00 2299,2.86
HD 60335,18.0
HD 214129,31.2
BD-04 3421,2.72
59 Orionis,82.0
V* V856 Ori,11.593
Zeta Phoenicis,93.0
KIC 5111949,6.9
Alcyone,149.0
HD 96248,70.0
BD-16 248,2.63
KIC 7900418,126.0
HD 193281,95.0
[MLF2014] 121380,51.8
Delta Tauri3,11.0
HD 36959,11.0
