Subject,Object
All-Athletics.com ID,All-Athletics.com
All-Athletics.com ID,All-Athletics.com
CETS number,Council of Europe treaty
CETS number,Council of Europe treaty
Rotten Tomatoes ID,Rotten Tomatoes
Dictionnaire critique des historiens de l'art ID,Dictionnaire critique des historiens de l'art actifs en France de la Révolution à la Première Guerre mondiale
National Library of Israel ID,National Library of Israel
image of grave,tomb
Mantodea Species File ID,Mantodea Species File
Mantodea Species File ID,Mantodea Species File
Cockroach Species File ID,Cockroach Species File
Cockroach Species File ID,Cockroach Species File
UltraSignup runner ID,UltraSignup
UltraSignup runner ID,UltraSignup
Coreoidea Species File ID,Coreoidea Species File
Coreoidea Species File ID,Coreoidea Species File
French Athletics Federation athlete ID,Fédération française d'athlétisme
French Athletics Federation athlete ID,Fédération française d'athlétisme
DoME artist ID,Database of Modern Exhibitions (DoME)
ITRA runner ID,International Trail-Running Association
ITRA runner ID,International Trail-Running Association
location of first performance,première
NKCR AUT ID,Czech National Authority Database
NKCR AUT ID,Czech National Authority Database
CONOR ID,CONOR
Vatican Library ID,Vatican Library
Vatican Library ID,Vatican Library
Power of 10 athlete ID,Power of 10
Bibliothèque nationale de France ID,BnF authorities
Bibliothèque nationale de France ID,BnF authorities
Research Papers in Economics Series handle,Research Papers in Economics
SFMOMA artist ID,San Francisco Museum of Modern Art
Library of Congress authority ID,Library of Congress Authorities
Library of Congress authority ID,Library of Congress Authorities
date depicted,depiction
date depicted,depiction
ERIH PLUS ID,European Reference Index for the Humanities
NCL ID,National Central Library
NCL ID,National Central Library
Sabinet journal ID,Sabinet
commemorative plaque image,commemorative plaque
ctext work ID,Chinese Text Project
FIDAL athlete ID,Italian Athletics Federation
distribution map,geographic map
detail map,geographic map
Sports-Reference.com college basketball player ID,Sports-Reference.com
Sports-Reference.com college basketball coach ID,Sports-Reference.com
Sports-Reference.com college basketball player ID,Sports-Reference.com
Sports-Reference.com college basketball coach ID,Sports-Reference.com
Information Center for Israeli Art artist ID,Information Center for Israeli Art
artist-info exhibition ID,artist-info
artist-info location ID,artist-info
artist-info curator ID,artist-info
artist-info exhibition ID,artist-info
artist-info location ID,artist-info
artist-info artist ID,artist-info
Deutsche Ultramarathon-Vereinigung ID,Deutsche Ultramarathon-Vereinigung
creator's signature,signature
