Subject,Object
Mizore Shirayuki,cryokinesis
Tsurara Shirayuki,cryokinesis
Trigon,psychokinesis
Ares,telepathy
Trigon,telepathy
Suu,telepathy
Belthazor,psychokinesis
Zankou,psychokinesis
Belthazor,psychokinesis
Zankou,psychokinesis
Belthazor,psychokinesis
Moka Akashiya,flight
Raziel,intangibility
Moka Akashiya,healing factor
Raziel,intangibility
Moka Akashiya,healing factor
Count Vertigo,flight
Deathstroke,healing factor
Wallace West,superhuman endurance
Wally West,superhuman endurance
Wallace West,intangibility
Wally West,intangibility
Wallace West,superhuman agility / reflexes
Wally West,superhuman agility / reflexes
Wallace West,superhuman speed
Wally West,superhuman speed
Superman,superhuman endurance
Wonder Woman,flight
Superman,superhuman senses
Wonder Woman,superhuman agility / reflexes
Superman,heat vision
Spawn,healing factor
Hellboy,healing factor
