Subject,Object
Dumeticola mandelli,species
Matuta miersii,species
Ecklonia bicyclis,species
Sesarma lafondii,species
Atya wyckii,species
Pagurus setifer,species
Grallaria flavirostris,species
Hippolyte gaimardii,species
Hippolyte cranchii,species
Fringilla arborea,species
Colius indicus,species
Zosterops auriventer,species
Barbus cumingii,species
Polygonum perfoliatum,species
Polygonum lapathifolium,species
Acacia gerrardii,species
Atriplex depressa,species
Vernonia cinerea,species
Chenopodium aristatum,species
Lecanora straminea,species
Polygonum careyi,species
Polymnia sonchifolia,species
