Subject,Object
Japan National Route 57,Japan National Route 10
Japan National Route 57,Japan National Route 10
Japan National Route 269,Japan National Route 10
N282 road,N285 road
RB 13,S+U Jungfernheide
RB 31,Dresden Central Station
Japan National Route 436,Japan National Route 11
Japan National Route 436,Japan National Route 11
RB 26,Ostkreuz
RB 25,Ostkreuz
RB 12,Ostkreuz
Japan National Route 197,Japan National Route 33
Japan National Route 390,Port of Ishigaki
Japan National Route 390,Port of Ishigaki
RB 6,Eisenach station
RB 51,Rathenow railway station
Japan National Route 350,Japan National Route 8
Japan National Route 350,Japan National Route 8
Japan National Route 338,Japan National Route 45
Japan National Route 338,Japan National Route 45
RB 11,Cottbus Hauptbahnhof
RB 63,Eberswalde Central Station
RB 55,Hennigsdorf station
Erik Dahlbergsgatan,Lidingövägen
Odengatan,Valhallavägen
Erik Dahlbergsgatan,Valhallavägen
Erik Dahlbergsallén,Valhallavägen
N283 road,N3 road
RB 7,Göttingen station
RB 56,Bad Bentheim station
RB 52,Brandenburg Central Station
N287 road,N174 road
